,BAP1,EPAS1,NF2,PTEN,TSC1,VHL,Y
82,30.62737136,37.05733,34.60269,38.42009,35.1261,31.66193,0
83,33.40513629,37.04721,34.66412,36.17264,32.52145,32.27549,0
84,32.96255194,38.6133,33.98953,36.8944,33.46131,32.23248,0
85,32.11924786,37.97258,34.81726,36.57712,32.95042,32.42409,0
86,32.75240305,36.78216,33.93851,36.11155,33.53603,32.05164,1
87,33.02993186,37.39869,34.04512,36.76966,32.6395,32.33634,0
88,34.9643336,37.89946,34.55969,36.18277,33.68291,30.22936,0
89,32.24311453,37.37068,34.53973,35.98807,33.7627,29.58428,1
90,33.1961024,38.29092,33.69616,37.03893,32.6623,31.42001,1
91,33.48499487,37.31241,34.31815,35.08758,33.35873,31.48752,0
92,33.05068767,37.21082,33.8424,35.92146,33.36301,31.61144,0
93,33.30937391,38.48588,34.14889,37.18132,33.79499,32.14381,1
94,34.74917766,38.78327,34.89126,36.68112,34.88136,30.75471,1
95,33.26302006,39.06744,34.01918,36.44905,33.18921,32.29419,0
96,33.68651899,36.93605,33.63608,35.83951,32.95898,32.24201,0
97,33.3104705,37.99282,33.53556,36.60599,33.15884,29.89866,1
98,33.51777852,36.84995,33.55628,35.34237,32.76926,33.11616,1
99,33.08351917,38.27938,34.10863,36.13302,33.84952,31.75488,0
100,32.53938701,37.52104,34.24087,36.6719,33.04245,32.31481,1
101,33.4367367,39.23004,33.44905,35.7243,33.86829,31.63886,1
102,32.86122103,37.67463,34.53322,37.41702,32.39313,32.03623,1
103,33.45453034,37.59915,33.40235,36.20743,33.48525,32.92398,0
104,33.2851086,39.32126,34.02058,36.57855,32.87676,31.91397,1
105,32.77510153,37.55998,34.92833,35.97182,33.85345,31.73043,0
106,33.63734516,37.32366,33.53045,35.63999,33.21647,32.57188,0
107,32.39084714,37.66942,32.9544,36.37707,33.59925,31.71282,1
108,34.07264467,38.38842,33.93179,35.68548,34.03508,32.65344,0
109,33.40124987,37.65662,34.50716,36.28409,33.71803,32.4382,0
110,33.45462494,38.50824,33.32883,37.24268,32.76001,31.75438,1
111,33.43174688,37.2883,34.73716,36.70972,33.65682,31.89459,0
112,32.38504595,37.96332,33.94316,36.8763,33.46323,31.72456,1
113,33.50229509,38.97151,33.81769,37.60411,33.53278,32.17025,0
114,33.52941692,37.57963,33.94863,35.48098,32.63767,31.94041,1
115,32.77011586,38.07266,33.55748,36.45442,33.36483,31.32521,0
116,32.84745723,35.67956,33.55129,36.44109,33.97402,32.42861,0
117,33.04256406,37.53006,33.92175,37.64543,32.36012,32.7842,1
118,32.20574551,37.47726,33.59857,36.38799,32.3928,31.30706,1
119,33.58118204,37.37288,33.86715,36.95066,33.95055,31.6633,0
120,33.17636785,38.16432,33.79424,37.28594,32.60673,32.4917,1
121,32.67289278,37.89326,33.72244,36.32164,32.91363,31.5165,1
122,33.08085915,38.6275,34.42309,36.59053,33.56574,31.66316,0
123,33.61117564,38.10011,34.47783,36.03239,32.49516,32.5051,1
124,32.29040075,37.09323,34.41565,35.5678,33.64374,30.94975,1
125,32.27666349,37.6336,34.10548,37.85229,33.24758,31.19006,0
126,34.96286492,37.65101,34.41833,34.98491,32.98214,30.84443,0
127,33.42356035,38.35865,32.75566,36.59868,31.79625,31.69395,0
128,33.35598867,37.64952,34.3514,36.787,32.64737,32.13149,1
129,34.27007127,38.79035,34.24519,35.26078,33.03847,33.00361,0
130,33.56043816,38.86848,34.39628,35.52357,32.48402,32.3342,0
131,33.61220415,38.62162,34.18696,36.0275,32.99333,31.96082,1
132,33.02325325,37.05952,32.32269,36.74495,33.47414,32.07053,0
133,33.12673855,39.26052,33.7866,36.79048,33.48919,30.87483,1
134,34.03352911,38.91987,34.26415,36.45352,33.54532,29.4119,1
135,31.77915233,38.65278,32.34344,38.90838,32.03623,30.21203,1
136,33.14150817,37.87763,34.05954,36.77402,33.19547,32.26589,1
137,32.8925538,38.7551,34.19458,37.065,33.05363,32.21194,1
138,32.77407632,37.57177,34.31653,36.9981,32.59069,31.8472,1
139,32.92969412,38.3032,33.56061,36.63263,33.79558,32.10331,1
140,34.2412321,38.05036,33.81562,36.82525,32.55074,32.94352,1
141,33.77063252,37.91295,34.09613,36.90906,33.81338,32.23903,0
142,32.03187541,36.30102,31.87125,37.95243,32.7817,30.72246,1
143,32.15310428,37.12478,34.69677,37.51162,33.43814,32.94954,0
144,32.69979761,37.29073,32.09383,36.84141,33.5372,31.36942,1
145,32.40708232,37.25287,33.91201,37.48099,33.79259,33.42649,1
146,32.67614938,39.0574,34.05801,37.81229,32.90719,31.81819,1
147,32.94072226,37.12998,34.0173,36.64473,33.03152,32.78187,1
148,33.1534069,37.15047,33.94758,36.1582,33.43866,31.67908,1
149,33.6756914,35.00093,33.53788,36.37985,33.47421,33.42758,1
150,33.18774128,36.58449,35.55171,36.06082,33.96017,32.42761,1
151,34.09291748,38.11065,34.00996,36.13747,33.04021,30.37936,1
152,32.48168416,36.5278,34.72607,36.85509,32.10992,32.57092,0
153,32.7781361,38.51488,34.41642,36.84917,33.77151,32.64742,0
154,33.02478408,38.52523,33.49275,38.6934,33.93046,33.25149,1
155,32.52432022,38.38029,32.88201,38.25746,32.20036,30.66794,0
156,32.98298534,38.17688,33.27345,36.4032,34.04882,32.11148,1
157,33.3292746,37.65692,34.23953,36.62402,32.99442,32.08989,0
158,33.54357175,38.28107,34.28565,35.43727,33.4191,30.90626,0
159,33.21599261,37.33006,33.01284,35.27898,32.47974,31.3271,1
160,33.70913229,37.521,33.63283,32.62036,32.08699,30.96515,1
161,32.84733637,37.16699,33.48693,36.12823,32.82853,32.85534,0
162,33.13121156,38.39118,33.34108,37.1176,33.38039,32.2787,1
163,32.98998278,38.61251,33.08606,36.95032,32.94056,31.52947,0
164,32.92721606,37.85943,33.87111,37.61499,33.64906,33.03129,0
165,34.32398963,38.52064,34.79205,35.90204,33.36062,31.4547,1
166,34.04725434,36.79424,34.99658,36.54647,32.70412,32.71924,0
167,32.85747964,38.9794,33.70966,36.7019,33.66058,32.5293,1
168,32.52294843,37.19439,32.16326,36.36035,33.11623,33.338,0
169,33.92076518,36.77437,34.1437,35.36049,33.81385,32.18815,0
170,32.76569397,37.10062,34.14801,37.57667,32.52777,31.28225,1
171,32.93146682,38.47459,33.86803,36.96615,31.87314,31.90567,0
172,32.93145497,37.43979,33.51794,35.96517,32.82055,32.28514,0
173,32.71803867,38.36265,33.5573,36.79856,33.21663,32.32059,0
174,32.2260695,37.04234,33.84841,36.72289,32.9574,31.49184,0
175,32.8677124,37.81606,33.56764,36.52887,32.54517,30.98642,0
176,33.84387246,39.13826,33.58214,37.99666,32.93248,31.79913,0
177,32.51996749,35.86338,33.1042,34.65038,32.62658,31.66344,0
178,33.11520938,37.9134,33.80118,36.77314,32.81059,32.39461,1
179,32.89515069,37.9687,33.51366,36.08937,34.0481,32.34561,0
180,33.40452558,38.75226,33.6789,36.87734,33.82576,30.34566,0
