,BAP1,EPAS1,MTOR,NF2,PIK3CA,PTEN,PTGS2,RNF139,SETD2,TP53,TSC1,VHL,Y
23,33.59551682,38.0228,33.90466,33.30063,32.56972,35.98864,33.02151,32.05511,33.14098,33.6812,32.89121,32.03143,0
24,32.74452131,35.66616,33.50727,33.95919,34.5593,36.17544,27.95526,32.51403,33.93477,35.33226,32.66428,33.92074,1
25,32.71060828,38.07107,32.98304,33.34139,32.91759,36.85031,32.24754,31.00062,33.12842,35.21132,32.17923,31.39375,0
26,32.2240865,37.26878,33.6217,33.39728,33.2255,37.02355,29.05276,34.02099,32.52339,33.90713,31.39947,31.32365,1
27,33.23384051,39.31331,33.97665,34.56479,33.09261,36.77963,32.92765,32.06894,33.16204,33.89237,33.85497,32.36932,0
28,33.68443072,37.72016,34.19899,34.30464,34.60932,36.16043,28.48728,32.46247,34.15359,33.90675,32.31233,33.07403,0
29,33.49284232,37.91654,34.22337,33.83947,33.23847,35.71361,31.63241,31.63059,33.77916,35.6213,32.72354,32.26444,0
30,32.89257041,37.06045,33.24428,32.99015,33.11406,36.97114,29.33154,32.84129,33.33105,34.77403,32.89436,32.18444,0
31,33.92418113,38.88147,33.45795,32.42807,32.44021,35.27228,33.70217,31.26782,33.39691,36.5513,33.38167,29.55647,1
32,33.48215132,36.74275,33.79023,34.14983,33.03581,36.49972,30.05611,32.33853,32.90743,33.46325,32.70867,32.07804,0
33,32.49201018,37.95201,32.43436,33.34783,33.49249,36.89801,31.84872,33.64744,33.43511,35.62678,33.39661,32.19045,0
34,33.38601925,37.04465,32.87964,33.93609,33.32984,37.58374,32.56198,33.5604,32.97898,34.34409,31.78938,31.0072,0
35,33.16089491,38.31093,33.68001,33.92941,33.68339,36.6287,31.09901,31.83364,33.00757,34.66919,32.72168,31.90031,1
36,32.87289636,38.49299,33.72647,33.90075,32.70673,37.1101,33.98265,33.21646,33.22673,33.48096,33.53046,31.35354,1
37,33.0926036,38.30625,32.98039,33.59144,32.50788,37.6299,32.45242,32.37365,33.51507,34.35794,33.33124,30.8842,1
38,30.62522282,37.93276,32.63446,33.25872,33.14868,36.26911,32.5938,32.49066,33.25497,35.88948,32.73166,31.17131,1
39,33.06658648,37.57839,33.589,34.18658,32.9767,36.85926,30.44623,33.5531,32.97091,33.06034,32.87974,32.3053,1
40,32.57990639,35.23492,33.30874,34.84638,32.81433,37.70073,28.73119,32.90856,33.52124,34.61866,33.07849,30.89403,0
41,32.50566564,38.4452,33.69631,33.60426,34.20215,37.95014,30.76521,33.36947,32.93344,32.99527,32.80056,31.16832,0
42,32.60498455,36.61642,32.88711,34.0974,30.91756,36.74205,32.74399,32.14281,32.57248,34.01316,32.37043,30.68011,1
43,34.61933815,38.00481,33.94408,34.03372,33.09723,35.13166,30.93117,31.34658,33.82452,34.39162,32.82349,32.08039,1
44,32.58586389,37.89336,33.46656,34.11393,32.68197,36.58375,31.38885,33.41232,33.44724,34.48647,33.29182,32.71556,0
45,32.18714302,36.9876,33.56956,34.23243,31.78535,35.74978,30.21234,31.91383,33.34949,34.42311,32.65885,31.87425,0
46,33.58688429,38.35481,33.25962,34.0885,32.46032,35.82186,29.04552,31.56153,32.93132,33.81581,33.82437,32.35922,0
47,33.3055895,38.89628,34.02103,33.57292,33.5826,36.89413,34.72579,32.52915,34.15246,33.06353,33.66321,32.10457,1
48,33.18902523,38.46163,33.7697,34.05693,33.47121,36.33043,29.09394,32.54575,32.72412,34.17134,33.45978,32.45241,1
49,33.65028971,35.79973,34.02742,34.00034,32.83667,36.31583,31.93464,32.34733,33.70162,34.72803,33.79821,32.98937,0
50,32.56502892,37.5741,34.10431,33.8805,31.65675,35.55455,31.52603,30.96881,33.23599,35.53983,32.87109,30.56966,1
51,34.12939857,37.04982,33.82666,34.70098,32.77767,36.26757,28.97176,32.49568,33.94799,36.36869,31.94609,33.23535,1
52,32.97349465,37.61854,34.35173,33.61291,32.9067,37.12633,32.02082,33.68848,33.41468,35.91553,34.43402,32.50433,1
53,31.76926458,37.64033,32.21819,32.92764,33.99002,38.57364,31.67471,33.61421,34.18038,32.58365,32.54128,31.63315,0
54,33.51371062,37.87352,33.46926,33.62313,32.17161,35.84871,29.27569,31.24336,33.25014,33.82773,33.29085,32.31606,1
55,34.16001659,38.75519,33.25096,34.15293,33.80337,38.08415,32.55913,33.01735,34.3144,35.35425,33.29908,28.14961,1
56,34.08720581,39.57933,33.57493,34.17307,32.24168,35.75165,33.51586,32.03599,33.38379,32.66038,32.66897,32.96794,1
57,32.6354152,36.22042,33.30892,34.55777,32.95735,36.33206,30.898,32.20159,33.31024,34.55579,33.05159,32.72543,1
58,33.65426379,38.67991,33.83684,33.21675,33.60576,37.35644,33.06141,33.79887,34.05858,36.09736,34.18644,32.82193,1
59,33.23357565,37.43247,33.2801,34.44878,32.13877,35.27672,30.97734,31.38464,33.39758,34.85328,32.61467,31.96733,1
60,32.69287125,38.51066,32.98315,33.50326,33.22491,37.04182,30.04982,31.99999,33.27502,33.94407,33.26828,32.08517,0
61,33.31073448,38.90965,33.26508,33.14441,31.65169,35.63967,30.67912,31.31352,33.71687,34.01062,33.18978,30.60934,1
62,33.92542032,38.46541,34.23937,34.62161,33.56208,36.63175,30.78731,32.77395,33.39922,33.67613,33.34938,31.25543,0
63,33.37628873,37.82288,33.21358,33.66074,32.58785,36.32098,31.20997,32.41373,33.78959,35.54351,32.56093,31.93458,1
64,33.3187346,38.40417,33.92666,33.69261,32.92958,35.64189,29.38814,32.67176,33.27405,33.75687,33.13687,32.01212,1
65,33.0694473,37.75583,33.30602,34.13897,33.27894,36.38814,28.56285,32.6693,33.45096,34.04007,34.16652,32.21729,0
66,33.29049007,39.05518,33.56573,33.72929,32.71889,36.22927,31.52996,30.65186,32.8774,36.06187,33.07771,31.44407,1
67,33.03107947,38.88413,33.29722,34.18379,33.58104,37.28206,31.02171,32.35308,34.20264,35.35577,33.13779,32.11154,1
68,33.36681775,36.82536,34.16336,34.76848,32.8339,36.09734,28.94653,32.49802,33.50058,32.79931,33.33153,32.7919,1
69,34.26226534,38.59968,33.47533,34.65996,31.26533,34.86892,30.54903,30.47383,32.90753,33.45069,33.87982,32.81428,1
70,33.17832614,38.43102,34.46672,33.56508,32.63057,36.34673,31.55982,33.3495,35.0842,35.11615,33.77679,34.248,1
71,32.73590047,36.29691,33.80422,34.22396,33.65665,37.15841,27.24636,33.30413,33.84581,35.23777,33.2127,32.52093,0
72,34.28301329,38.32758,33.58405,34.59316,32.10168,34.53776,29.74559,30.03562,32.18579,33.33365,33.17304,32.5418,1
73,34.5520859,35.82046,33.69765,34.92875,33.9859,36.94862,32.31604,31.22714,34.70187,35.1487,33.03811,32.80961,1
74,32.95840513,37.0014,33.70844,33.49172,32.19044,36.42737,28.13685,31.88631,33.3535,35.34724,33.31362,32.05989,0
75,34.17763604,38.96583,34.67108,33.54988,32.98494,38.18412,32.31492,31.993,33.53237,34.07554,33.01577,32.36286,1
