,ARAP1,CUL3,DLGAP4,EGFR,FPR2,GJA9,GPR155,GRB2,IL25,KLHL5,LANCL1-AS1,LEMD1,MAP1LC3B,NPM1,PCMT1,RNF123,RNPS1,SDR42E1,SRPK2,TARBP2,TRIM25,TRIM43B,UBC,USP31,XPC,Y
10,34.67657451,33.43796,34.92481,34.72176,28.77476,28.7841,30.99341,35.14651,21.08036,33.13178,21.39991,22.39503,34.09637,39.96837,32.90148,33.59707,34.85249,29.34315,33.4884,30.03707,33.94248,21.9744,40.20295,31.31801,32.89884,0
11,33.98534008,33.73732,34.28751,34.9748,23.31461,29.12417,33.43832,35.2237,21.08036,33.17803,21.39991,22.39503,33.93636,38.99498,32.79776,32.53172,33.9013,27.30181,32.51087,31.36318,33.33256,21.9744,39.45705,30.86369,32.39582,0
12,34.69062478,33.24279,34.50393,35.94771,23.31461,30.37293,32.97207,34.33753,21.08036,33.9762,21.39991,22.39503,32.72238,37.83015,30.97341,34.50371,34.14506,28.26074,33.35074,32.02799,33.4674,21.9744,39.54129,31.63346,32.33806,0
13,35.14476472,32.62118,35.11937,34.7497,27.93249,21.02188,30.37875,33.15774,21.08036,33.83978,21.39991,22.39503,31.86173,36.43918,30.74535,34.09935,34.69006,30.04147,33.70509,31.05249,34.69142,21.9744,40.3339,31.82954,32.64931,0
14,35.88942221,32.6478,35.28042,35.19498,28.98468,28.37048,31.33487,34.19842,21.08036,32.61374,21.39991,30.69432,32.57318,37.49116,30.85651,33.80242,34.84022,28.46638,33.46521,32.87979,34.56335,21.9744,39.92641,32.54608,33.06521,0
15,33.40631412,32.42873,35.69948,35.28519,23.31461,28.69904,29.97411,33.86322,21.08036,34.51924,21.39991,22.39503,32.43212,36.99772,32.43069,33.9539,34.74889,27.30657,33.39668,31.40995,32.29743,21.9744,40.15406,33.53444,32.1451,0
16,34.37844747,32.87343,35.32885,35.80308,30.88078,29.88915,30.2378,35.12972,21.08036,33.66095,21.39991,22.39503,33.78431,38.97119,33.08878,32.89404,34.72914,31.98039,33.59007,32.33566,33.74862,21.9744,39.81548,31.33297,31.96266,0
17,35.06371398,33.48122,35.00336,33.82215,29.47546,28.06709,31.94156,34.42096,26.38859,33.11678,21.39991,22.39503,33.893,38.06956,32.9797,34.81454,34.24249,27.8854,33.57345,32.4819,34.14809,21.9744,40.01575,31.96124,33.16377,0
18,34.32304139,33.34685,34.30324,34.01842,28.92219,29.30336,31.29751,34.73494,21.08036,33.33659,21.39991,22.39503,32.42953,37.50197,32.00942,34.11968,34.21108,29.16964,33.65176,30.67809,33.27799,21.9744,38.93623,32.13176,33.04864,1
19,35.31355143,33.77604,34.48021,32.06859,30.05328,28.87797,32.10766,36.29016,24.45795,34.41428,21.39991,22.39503,34.14495,38.68954,33.06019,33.49782,34.41801,27.91385,33.29441,32.11682,33.42226,25.73973,39.02396,31.52865,32.37011,0
20,34.73831002,32.68708,35.93788,36.33982,23.31461,27.8153,30.55836,34.88839,21.08036,33.09703,21.39991,22.39503,34.3868,39.52876,31.54419,33.80458,35.59785,27.43927,33.71352,30.61511,34.66254,21.9744,39.83385,31.85971,33.26847,1
21,35.07764889,33.43083,33.02829,35.55092,28.62719,30.8324,30.72141,35.45143,21.08036,33.40939,21.39991,30.56238,32.1505,39.436,32.86254,33.32327,34.36171,22.83731,33.11588,31.03013,33.69098,21.9744,39.86289,32.64771,33.03191,1
22,34.96178761,32.69449,35.2125,36.49729,23.31461,29.1536,30.202,34.34499,21.08036,32.51007,21.39991,29.06278,34.36307,39.08861,31.60242,33.90817,34.84803,28.59622,32.98969,30.85818,33.8259,21.9744,41.10767,31.97838,33.78154,1
23,34.87544155,33.78213,34.76494,34.961,30.56749,30.39119,30.47195,34.77329,21.08036,33.72166,21.39991,32.9107,33.9557,38.59228,32.41071,33.1753,35.33397,28.59348,34.1566,30.80615,33.84919,21.9744,40.26813,30.5153,32.37789,0
24,34.60186438,33.8971,33.04221,33.58247,32.43073,31.08597,32.68205,36.5612,21.08036,33.51857,21.39991,22.39503,32.43802,39.05715,32.08603,34.47651,33.78453,32.90608,33.25852,31.3563,34.2694,21.9744,39.68454,31.33602,33.58037,1
