,feature_idx,cv_scores,avg_score,feature_names
27,"(1300, 1786, 2876, 3006, 3846, 4271, 4441, 4468, 5526, 6418, 6934, 7112, 7280, 7634, 8177, 8663, 9786, 10189, 10687, 10800, 10809, 11273, 11601, 13120, 15286, 16972, 17216)",[0.65157111],0.6515711059830183,"('B3GALT2', 'C19orf73', 'CGGBP1', 'CIDEC', 'DBF4B', 'DNAJC9', 'DUSP18', 'DYNC1H1', 'FHL3', 'GRK1', 'HOXA9', 'HUS1B', 'IGHV3OR15-7', 'ITPKC', 'KRTAP10-10', 'LRRC10', 'MVB12B', 'NFIB', 'OGFOD3', 'OR4E2', 'OR4N5', 'PDE4A', 'PIWIL4', 'RNASE1', 'TARBP2', 'WDR5', 'ZC3H11B')"
28,"(1300, 1786, 2876, 3006, 3846, 4271, 4441, 4468, 5526, 6418, 6934, 7112, 7280, 7634, 8177, 8663, 9786, 10189, 10687, 10800, 10809, 11273, 11601, 13120, 15080, 15286, 16972, 17216)",[0.66409721],0.6640972119524486,"('B3GALT2', 'C19orf73', 'CGGBP1', 'CIDEC', 'DBF4B', 'DNAJC9', 'DUSP18', 'DYNC1H1', 'FHL3', 'GRK1', 'HOXA9', 'HUS1B', 'IGHV3OR15-7', 'ITPKC', 'KRTAP10-10', 'LRRC10', 'MVB12B', 'NFIB', 'OGFOD3', 'OR4E2', 'OR4N5', 'PDE4A', 'PIWIL4', 'RNASE1', 'STXBP1', 'TARBP2', 'WDR5', 'ZC3H11B')"
29,"(1300, 1786, 2876, 3006, 3846, 4271, 4441, 4468, 5526, 6418, 6934, 7112, 7280, 7634, 7820, 8177, 8663, 9786, 10189, 10687, 10800, 10809, 11273, 11601, 13120, 15080, 15286, 16972, 17216)",[0.67563623],0.6756362255189251,"('B3GALT2', 'C19orf73', 'CGGBP1', 'CIDEC', 'DBF4B', 'DNAJC9', 'DUSP18', 'DYNC1H1', 'FHL3', 'GRK1', 'HOXA9', 'HUS1B', 'IGHV3OR15-7', 'ITPKC', 'KCTD6', 'KRTAP10-10', 'LRRC10', 'MVB12B', 'NFIB', 'OGFOD3', 'OR4E2', 'OR4N5', 'PDE4A', 'PIWIL4', 'RNASE1', 'STXBP1', 'TARBP2', 'WDR5', 'ZC3H11B')"
30,"(1300, 1786, 2876, 3006, 3846, 4271, 4441, 4468, 5526, 6418, 6934, 7112, 7280, 7634, 7820, 8177, 8663, 9786, 10189, 10347, 10687, 10800, 10809, 11273, 11601, 13120, 15080, 15286, 16972, 17216)",[0.68735066],0.687350658605189,"('B3GALT2', 'C19orf73', 'CGGBP1', 'CIDEC', 'DBF4B', 'DNAJC9', 'DUSP18', 'DYNC1H1', 'FHL3', 'GRK1', 'HOXA9', 'HUS1B', 'IGHV3OR15-7', 'ITPKC', 'KCTD6', 'KRTAP10-10', 'LRRC10', 'MVB12B', 'NFIB', 'NOL9', 'OGFOD3', 'OR4E2', 'OR4N5', 'PDE4A', 'PIWIL4', 'RNASE1', 'STXBP1', 'TARBP2', 'WDR5', 'ZC3H11B')"
31,"(1300, 1786, 2876, 3006, 3846, 4271, 4441, 4468, 5526, 6418, 6934, 7112, 7280, 7634, 7820, 8177, 8663, 9786, 10189, 10347, 10687, 10800, 10809, 11273, 11601, 13120, 15080, 15286, 16633, 16972, 17216)",[0.69891997],0.698919970008748,"('B3GALT2', 'C19orf73', 'CGGBP1', 'CIDEC', 'DBF4B', 'DNAJC9', 'DUSP18', 'DYNC1H1', 'FHL3', 'GRK1', 'HOXA9', 'HUS1B', 'IGHV3OR15-7', 'ITPKC', 'KCTD6', 'KRTAP10-10', 'LRRC10', 'MVB12B', 'NFIB', 'NOL9', 'OGFOD3', 'OR4E2', 'OR4N5', 'PDE4A', 'PIWIL4', 'RNASE1', 'STXBP1', 'TARBP2', 'ULK2', 'WDR5', 'ZC3H11B')"
32,"(1300, 1786, 2428, 2876, 3006, 3846, 4271, 4441, 4468, 5526, 6418, 6934, 7112, 7280, 7634, 7820, 8177, 8663, 9786, 10189, 10347, 10687, 10800, 10809, 11273, 11601, 13120, 15080, 15286, 16633, 16972, 17216)",[0.71148653],0.7114865324468844,"('B3GALT2', 'C19orf73', 'CCL28', 'CGGBP1', 'CIDEC', 'DBF4B', 'DNAJC9', 'DUSP18', 'DYNC1H1', 'FHL3', 'GRK1', 'HOXA9', 'HUS1B', 'IGHV3OR15-7', 'ITPKC', 'KCTD6', 'KRTAP10-10', 'LRRC10', 'MVB12B', 'NFIB', 'NOL9', 'OGFOD3', 'OR4E2', 'OR4N5', 'PDE4A', 'PIWIL4', 'RNASE1', 'STXBP1', 'TARBP2', 'ULK2', 'WDR5', 'ZC3H11B')"
33,"(1300, 1786, 2428, 2876, 3006, 3846, 4271, 4441, 4468, 5526, 6418, 6934, 7112, 7280, 7634, 7820, 8177, 8494, 8663, 9786, 10189, 10347, 10687, 10800, 10809, 11273, 11601, 13120, 15080, 15286, 16633, 16972, 17216)",[0.72274209],0.7227420901715205,"('B3GALT2', 'C19orf73', 'CCL28', 'CGGBP1', 'CIDEC', 'DBF4B', 'DNAJC9', 'DUSP18', 'DYNC1H1', 'FHL3', 'GRK1', 'HOXA9', 'HUS1B', 'IGHV3OR15-7', 'ITPKC', 'KCTD6', 'KRTAP10-10', 'LINC00521', 'LRRC10', 'MVB12B', 'NFIB', 'NOL9', 'OGFOD3', 'OR4E2', 'OR4N5', 'PDE4A', 'PIWIL4', 'RNASE1', 'STXBP1', 'TARBP2', 'ULK2', 'WDR5', 'ZC3H11B')"
34,"(1300, 1786, 2428, 2876, 3006, 3846, 4271, 4441, 4468, 5526, 6215, 6418, 6934, 7112, 7280, 7634, 7820, 8177, 8494, 8663, 9786, 10189, 10347, 10687, 10800, 10809, 11273, 11601, 13120, 15080, 15286, 16633, 16972, 17216)",[0.7337245],0.7337245032731173,"('B3GALT2', 'C19orf73', 'CCL28', 'CGGBP1', 'CIDEC', 'DBF4B', 'DNAJC9', 'DUSP18', 'DYNC1H1', 'FHL3', 'GOLGA7B', 'GRK1', 'HOXA9', 'HUS1B', 'IGHV3OR15-7', 'ITPKC', 'KCTD6', 'KRTAP10-10', 'LINC00521', 'LRRC10', 'MVB12B', 'NFIB', 'NOL9', 'OGFOD3', 'OR4E2', 'OR4N5', 'PDE4A', 'PIWIL4', 'RNASE1', 'STXBP1', 'TARBP2', 'ULK2', 'WDR5', 'ZC3H11B')"
35,"(1300, 1786, 2428, 2876, 3006, 3846, 4271, 4441, 4468, 5526, 6215, 6418, 6934, 7112, 7280, 7499, 7634, 7820, 8177, 8494, 8663, 9786, 10189, 10347, 10687, 10800, 10809, 11273, 11601, 13120, 15080, 15286, 16633, 16972, 17216)",[0.74411078],0.7441107822683587,"('B3GALT2', 'C19orf73', 'CCL28', 'CGGBP1', 'CIDEC', 'DBF4B', 'DNAJC9', 'DUSP18', 'DYNC1H1', 'FHL3', 'GOLGA7B', 'GRK1', 'HOXA9', 'HUS1B', 'IGHV3OR15-7', 'INTS8', 'ITPKC', 'KCTD6', 'KRTAP10-10', 'LINC00521', 'LRRC10', 'MVB12B', 'NFIB', 'NOL9', 'OGFOD3', 'OR4E2', 'OR4N5', 'PDE4A', 'PIWIL4', 'RNASE1', 'STXBP1', 'TARBP2', 'ULK2', 'WDR5', 'ZC3H11B')"
36,"(1300, 1786, 2428, 2797, 2876, 3006, 3846, 4271, 4441, 4468, 5526, 6215, 6418, 6934, 7112, 7280, 7499, 7634, 7820, 8177, 8494, 8663, 9786, 10189, 10347, 10687, 10800, 10809, 11273, 11601, 13120, 15080, 15286, 16633, 16972, 17216)",[0.75569652],0.7556965212518043,"('B3GALT2', 'C19orf73', 'CCL28', 'CEP250', 'CGGBP1', 'CIDEC', 'DBF4B', 'DNAJC9', 'DUSP18', 'DYNC1H1', 'FHL3', 'GOLGA7B', 'GRK1', 'HOXA9', 'HUS1B', 'IGHV3OR15-7', 'INTS8', 'ITPKC', 'KCTD6', 'KRTAP10-10', 'LINC00521', 'LRRC10', 'MVB12B', 'NFIB', 'NOL9', 'OGFOD3', 'OR4E2', 'OR4N5', 'PDE4A', 'PIWIL4', 'RNASE1', 'STXBP1', 'TARBP2', 'ULK2', 'WDR5', 'ZC3H11B')"
37,"(1300, 1786, 2428, 2797, 2876, 3006, 3846, 4271, 4441, 4468, 4818, 5526, 6215, 6418, 6934, 7112, 7280, 7499, 7634, 7820, 8177, 8494, 8663, 9786, 10189, 10347, 10687, 10800, 10809, 11273, 11601, 13120, 15080, 15286, 16633, 16972, 17216)",[0.76586462],0.7658646188173224,"('B3GALT2', 'C19orf73', 'CCL28', 'CEP250', 'CGGBP1', 'CIDEC', 'DBF4B', 'DNAJC9', 'DUSP18', 'DYNC1H1', 'EPGN', 'FHL3', 'GOLGA7B', 'GRK1', 'HOXA9', 'HUS1B', 'IGHV3OR15-7', 'INTS8', 'ITPKC', 'KCTD6', 'KRTAP10-10', 'LINC00521', 'LRRC10', 'MVB12B', 'NFIB', 'NOL9', 'OGFOD3', 'OR4E2', 'OR4N5', 'PDE4A', 'PIWIL4', 'RNASE1', 'STXBP1', 'TARBP2', 'ULK2', 'WDR5', 'ZC3H11B')"
38,"(1300, 1786, 2428, 2797, 2876, 3006, 3846, 4271, 4441, 4468, 4818, 5526, 6215, 6418, 6934, 7112, 7280, 7499, 7634, 7820, 8177, 8379, 8494, 8663, 9786, 10189, 10347, 10687, 10800, 10809, 11273, 11601, 13120, 15080, 15286, 16633, 16972, 17216)",[0.77593602],0.7759360236888427,"('B3GALT2', 'C19orf73', 'CCL28', 'CEP250', 'CGGBP1', 'CIDEC', 'DBF4B', 'DNAJC9', 'DUSP18', 'DYNC1H1', 'EPGN', 'FHL3', 'GOLGA7B', 'GRK1', 'HOXA9', 'HUS1B', 'IGHV3OR15-7', 'INTS8', 'ITPKC', 'KCTD6', 'KRTAP10-10', 'LECT2', 'LINC00521', 'LRRC10', 'MVB12B', 'NFIB', 'NOL9', 'OGFOD3', 'OR4E2', 'OR4N5', 'PDE4A', 'PIWIL4', 'RNASE1', 'STXBP1', 'TARBP2', 'ULK2', 'WDR5', 'ZC3H11B')"
39,"(1300, 1786, 2296, 2428, 2797, 2876, 3006, 3846, 4271, 4441, 4468, 4818, 5526, 6215, 6418, 6934, 7112, 7280, 7499, 7634, 7820, 8177, 8379, 8494, 8663, 9786, 10189, 10347, 10687, 10800, 10809, 11273, 11601, 13120, 15080, 15286, 16633, 16972, 17216)",[0.78693778],0.7869377817889187,"('B3GALT2', 'C19orf73', 'CCDC127', 'CCL28', 'CEP250', 'CGGBP1', 'CIDEC', 'DBF4B', 'DNAJC9', 'DUSP18', 'DYNC1H1', 'EPGN', 'FHL3', 'GOLGA7B', 'GRK1', 'HOXA9', 'HUS1B', 'IGHV3OR15-7', 'INTS8', 'ITPKC', 'KCTD6', 'KRTAP10-10', 'LECT2', 'LINC00521', 'LRRC10', 'MVB12B', 'NFIB', 'NOL9', 'OGFOD3', 'OR4E2', 'OR4N5', 'PDE4A', 'PIWIL4', 'RNASE1', 'STXBP1', 'TARBP2', 'ULK2', 'WDR5', 'ZC3H11B')"
