,ABCB1,ACTN4,AHR,AKT1,ALDOA,ANGPT2,ANXA2,APLP2,AR,AVPR2,BAP1,CCND1,CD274,CD44,CDKN2A,CRP,CTNNB1,CXCL12,DNMT1,DNMT3A,DOK4,EPAS1,EPHA2,EPO,ERBB2,ERBB3,FN1,GATA3,HIF1A,HNF4A,INSR,JADE1,KPNA2,MAP3K5,MAPK3,MMP9,MTOR,MUL1,NDRG2,PATZ1,PIK3CB,PRKCE,PTEN,PTPRU,RBX1,RNF139,SOD2,STAT3,STK11,TEK,TFAP2A,TGFA,TGFB1,TICAM2,TRIM33,VCAM1,VDR,VHL,VIM,WWOX,Y
119,36.68717421,37.20851766,34.97846667,34.28824051,38.66684281,30.89731707,36.82103308,35.56465612,31.43959258,27.1094796,33.58118204,35.65156751,29.92891209,36.74104887,28.28794256,31.42051,34.95843,34.40707,35.18471,32.09305,33.12262,37.37288,33.38469,20.98119,34.59463,36.3435,37.96317,24.92059,36.1403,33.10164,34.64238,31.67776,32.09015,30.31876,35.05825,33.3889,33.04058,28.79251,33.88398,28.863,33.49117,32.2082,36.95066,33.58604,32.26181,31.63006,38.06782,36.53881,34.13318,32.07975,32.1767,30.77157,34.97635,21.8037,33.49299,35.51225,29.55041,31.6633,40.39942,34.92554,0
120,35.23832684,37.70289351,34.35076561,34.2115472,37.56737485,32.00494752,36.42199039,36.19747357,32.50711466,28.73885806,33.17636785,34.58118378,29.62369622,36.32228154,31.13637917,20.0364,35.54728,34.51938,35.30813,32.02235,32.51995,38.16432,32.99652,20.45331,34.46207,35.58386,39.94534,34.64253,37.41399,33.92245,34.70679,33.78362,32.02221,32.81555,34.07294,31.15602,33.33055,29.11335,34.66853,30.84867,34.0688,33.16414,37.28594,31.88405,32.33328,31.93161,38.45466,36.19009,32.81275,33.08059,30.15298,30.31891,32.9411,26.44537,34.84601,35.82185,31.02834,32.4917,38.96137,33.81463,1
121,34.54416027,37.3396668,34.0968267,34.0643987,38.61362167,33.01466071,37.6432877,36.29959542,33.06226638,28.47902153,32.67289278,35.16770961,29.82827234,36.02799574,30.62015429,32.13836,35.67265,33.95159,35.49869,32.27394,32.78878,37.89326,31.9887,29.25384,33.48902,35.581,39.85844,30.86938,35.98542,34.83002,35.30544,33.0983,33.04114,32.62938,34.19984,32.84248,33.43481,29.93014,33.70737,30.64416,33.8892,31.60306,36.32164,32.97445,32.68794,31.93856,38.59671,36.06343,33.29083,31.3614,31.77268,31.12745,34.44231,26.08444,34.65106,36.02025,30.69771,31.5165,40.08772,33.98831,1
122,34.11034024,37.74258794,34.24650544,34.724642,39.32778698,31.77948194,36.31006201,35.85415067,32.59838306,26.71435788,33.08085915,37.72867611,30.07243156,35.28497054,30.4448013,27.19138,35.85212,33.7142,34.66261,32.39156,33.2552,38.6275,31.99175,26.98458,34.58811,36.86635,37.02769,27.98115,35.87519,34.61754,35.73969,33.43072,32.10559,32.16185,34.70306,31.39256,33.31664,30.31006,34.94087,30.90546,34.1339,31.88497,36.59053,32.72744,33.10574,32.08049,38.82133,36.18357,34.25589,32.4455,29.30124,31.10064,34.50332,24.65778,34.36812,36.37356,30.46666,31.66316,39.92103,34.76931,0
123,36.76589489,38.10355211,34.04159148,34.44007934,39.47013233,32.34368397,37.36648667,36.87827166,33.00612075,24.25427411,33.61117564,36.2191325,30.20992135,35.95217634,32.1302705,28.56101,35.81561,33.91397,35.29462,31.93997,33.97794,38.10011,31.86856,29.95433,33.80152,36.81,39.29493,30.35864,35.0719,35.96253,35.4465,33.16203,32.70339,33.07136,34.79091,32.54895,34.12378,30.88973,33.25449,31.02536,33.49737,31.08521,36.03239,32.55618,33.8946,32.3778,40.0326,36.37108,33.66283,31.98158,29.34777,31.43565,35.45682,24.02883,34.02448,35.39955,30.24646,32.5051,40.02427,33.79991,1
124,33.77851454,38.05510559,33.76577797,34.590242,39.56313487,31.76004021,37.52215646,34.66089874,31.19073277,27.39992957,32.29040075,37.63393892,30.96675526,36.0423823,31.18945659,26.6579,35.38646,31.9382,35.50932,32.80729,33.82946,37.09323,33.26608,24.44898,34.98587,37.64678,37.41951,30.57094,35.32332,27.3579,34.92319,33.20896,32.41595,32.25391,34.69827,29.17177,33.37689,30.81199,33.13848,30.94063,34.08659,32.13007,35.5678,33.21327,32.71089,31.72856,39.08968,36.63362,34.55576,30.53485,33.2268,31.7945,35.06566,22.79559,35.16481,36.1101,29.23184,30.94975,40.11545,34.21144,1
125,34.00778768,36.31222196,34.35286703,33.82360865,37.7060309,31.77730435,36.46115431,34.61287946,31.39365979,27.2917836,32.27666349,35.54544997,30.50028428,35.63445439,31.75557366,25.92889,35.67351,34.05026,34.86983,32.6275,32.66812,37.6336,33.23952,24.64603,33.47073,35.11373,37.10101,29.85934,35.1856,34.28326,35.08612,31.6796,32.26558,33.29406,33.97051,27.85396,33.77589,28.37296,33.36727,30.65738,34.65978,31.06081,37.85229,33.10946,33.27771,33.44387,38.24017,35.25045,32.44533,32.70809,29.27097,31.82171,33.39733,29.448,34.58781,36.22597,29.87843,31.19006,40.04442,33.45125,0
126,37.41393623,38.52508978,33.1723288,35.81683962,39.14152448,29.68543759,36.26586473,36.0608393,30.76753206,29.15470271,34.96286492,36.78365771,21.45207561,33.8604109,33.7367727,21.05396,36.13026,34.35809,36.19236,32.97802,33.04972,37.65101,34.07683,28.56439,32.7628,36.52791,37.25903,28.12402,35.5139,34.13947,36.76512,33.8125,33.19515,34.45874,34.28235,29.21804,33.77443,30.39699,35.90479,32.0502,32.45581,32.45493,34.98491,31.52111,32.09594,32.07659,36.10601,36.58486,35.22962,32.24097,33.19362,31.67207,36.44848,25.35974,34.05592,35.09001,32.28752,30.84443,38.91379,33.9774,0
127,33.36674828,37.38050224,34.43471871,34.4753204,38.26538075,32.9738465,37.16436812,36.41973644,31.51434356,26.59296594,33.42356035,36.34045351,29.2971215,35.90441424,32.15266078,27.33134,35.97468,33.90051,34.50115,32.36797,32.81433,38.35865,32.33691,20.98119,32.82454,34.73561,38.88277,31.42613,36.52663,33.85916,35.44341,33.10483,32.59522,32.54452,34.45563,29.53585,33.16767,29.67693,33.93635,30.96735,32.73985,31.49142,36.59868,33.93762,33.14005,32.24889,38.3034,36.06775,32.98789,32.39589,27.07977,32.0442,34.98377,28.30645,34.28075,34.71405,28.99987,31.69395,40.6106,34.15397,0
128,35.05178163,37.5408307,33.94834002,34.26061413,38.06261055,31.43841552,36.35609398,36.24840692,31.81326287,26.76612481,33.35598867,35.42776636,30.06399437,36.08228754,30.11576386,27.97364,35.51259,34.40108,35.21268,31.77702,32.47392,37.64952,32.02076,29.83865,33.8037,34.63478,37.6474,34.82581,37.53761,32.63002,34.23687,33.28509,32.44633,32.3885,33.89814,31.23738,33.45802,29.43912,33.76985,30.46457,33.27407,31.91299,36.787,31.62636,32.54775,32.03672,38.79722,36.41567,32.97633,32.24345,32.6868,29.76351,34.52312,23.9139,34.9659,34.7721,31.51083,32.13149,38.91861,34.35103,1
