,APAF1,ARID1A,ATM,BAP1,EPAS1,ERBB2,GSTP1,HSPB1,HSPD1,IL6,MAPK8,MTOR,NDRG1,NF2,PAK1,PIK3CA,PTEN,PTGS2,RELA,RNF139,SETD2,SLC2A1,SOD2,TGM2,TP53,TSC1,TSC2,VHL,Y
10,32.4326535,34.24280857,35.57375747,33.03183581,38.48123,33.48126,35.79279,37.69029,36.74479,30.78458,33.10597,33.77177,41.20784,33.77528,33.81536,32.60585,36.04017,31.32386,33.55353,31.99236,33.26321,34.17897,38.43426,35.97245,34.41617,33.30005,35.03496,32.4506,0
11,32.83681971,33.52256952,36.11240334,33.2581978,38.39817,33.9892,35.86359,36.60885,36.30542,30.33543,33.82536,33.04822,39.97573,33.79103,34.68111,33.50775,37.08172,29.49923,33.44363,33.4261,33.01455,33.47634,37.32877,36.25752,35.30738,33.69206,35.01952,31.51755,0
12,32.64465831,32.83538589,35.7928831,33.22810975,38.34336,34.00777,33.34491,37.62178,35.47637,24.29608,32.10933,33.68132,39.27843,34.68184,34.59283,34.01172,36.26808,22.9987,32.75696,32.26933,33.06538,31.36482,36.19157,33.44282,33.58405,33.84394,35.22366,31.13415,0
13,32.22548727,34.26168517,36.20127841,33.552945,38.16606,35.05589,35.61979,36.73836,34.21244,24.29608,32.93581,33.36477,37.89529,33.44291,32.98007,30.55041,35.61627,29.14221,33.50079,31.09517,33.91596,33.65699,36.68269,34.67679,31.99556,33.25188,36.64412,32.75366,0
14,33.47131782,34.44153036,36.24531286,33.69244186,36.67863,34.66193,34.3218,38.17091,35.33533,30.36969,32.13119,33.15707,38.41989,34.71096,33.59623,32.48719,35.8713,29.35797,34.19903,31.15776,33.6024,34.61899,37.9372,37.43273,33.20506,33.32503,36.30593,32.65044,0
15,33.88750854,34.37116704,36.06760764,33.52923201,39.15707,32.14913,34.81481,36.85293,35.88626,32.50609,33.31685,33.6956,38.93303,33.22412,33.39767,32.90838,35.5696,29.85159,33.91135,31.30737,34.11172,34.13879,37.72707,35.57365,33.18497,33.55346,35.57495,32.45489,0
16,33.02184992,34.73080433,35.74189515,33.43930867,37.99765,34.47116,35.94778,37.6918,35.81117,33.27356,33.79137,33.87162,38.81561,33.78669,33.78745,32.82392,35.78921,32.3136,33.57082,32.26966,32.97572,35.19849,39.45764,36.77512,35.35686,31.58024,35.19005,32.03593,0
17,33.0052526,34.2312192,35.9476452,33.376406,37.16011,33.89564,34.8458,37.88665,35.69785,31.68836,33.15169,33.13449,40.22741,32.94832,33.87667,32.68384,35.73359,32.29211,33.11172,31.42432,33.63096,35.0463,38.65403,38.04989,35.19154,32.69427,35.79157,30.92365,0
18,33.08642492,33.77368633,36.86543364,32.49690704,37.55787,32.95287,35.30876,36.83742,35.25219,32.10011,32.00313,33.7741,39.00264,33.06301,33.8191,32.37149,35.24093,31.41232,32.46297,32.46267,33.87324,33.39639,36.67589,36.1309,32.90625,33.70015,34.96731,31.74634,1
19,32.95501102,34.36873692,36.03547076,33.22626382,37.93249,32.74769,35.38751,37.08291,35.9702,32.08382,33.65316,34.40276,35.81276,35.29129,34.12416,33.27565,37.0071,31.9231,32.6709,32.81773,33.66827,32.03414,36.50267,36.10699,33.50537,33.4082,34.95102,32.89678,0
