,ACPP,FOLH1,FRAT1,FRAT2,ICOS,ICOSLG,ITK,MTCP1,NFATC1,NFATC2,NFATC2IP,NFATC3,NFATC4,PATE1,PATE2,PATE3,PATE4,PDCD1,PDCD1LG2,PMEPA1,PRAC1,PRAC2,PSCA,PTCRA,STEAP1,TAL1,TAL2,TCF7,TCF7L1,TCIRG1,TCL1A,TCL1B,TLX1,TLX2,TLX3,WT1,WTAP,WTIP,Y
171,26.27523384,34.9139,28.07189,26.90984,22.97275,30.28804,33.81817,32.50215,30.54873,31.64067,30.95876,33.68772,31.14784,22.50866,21.43067,21.39308,21.98355,29.01744,30.10667,32.99321,21.11516,20.90645,21.86117,28.46392,32.35971,28.41467,21.94019,31.2151,31.49925,33.5708,25.38071,21.31293,21.09326,21.18281,21.37595,29.83049,32.43739,32.81093,0
172,26.27523384,32.70524,24.7092,23.48767,27.39593,30.58182,31.49716,32.1967,31.77064,32.56716,31.03181,33.35019,31.97045,22.50866,21.43067,21.39308,21.98355,28.33854,30.2577,33.26122,21.11516,20.90645,28.45047,21.19456,28.60403,27.00501,21.94019,30.85867,30.95425,34.02861,20.32437,21.31293,21.09326,21.18281,21.37595,29.76536,32.78194,31.15944,0
173,26.27523384,35.2224,21.76825,25.73606,22.97275,29.56475,31.11254,31.14734,30.88284,32.32546,31.21573,33.64292,31.5247,22.50866,21.43067,21.39308,21.98355,24.06377,30.3593,33.4186,21.11516,20.90645,21.86117,21.19456,29.18029,28.56322,21.94019,29.84053,30.91269,33.33572,20.32437,21.31293,21.09326,21.18281,21.37595,28.30555,33.37014,30.29949,0
174,26.27523384,32.38072,27.63744,25.93159,30.3776,31.07009,33.54157,31.15748,31.75242,33.04566,32.18669,33.89439,30.46702,22.50866,21.43067,21.39308,21.98355,30.97838,31.05682,31.60653,21.11516,20.90645,21.86117,27.05448,29.5993,23.4607,30.4299,32.21793,30.80452,32.96378,20.32437,21.31293,21.09326,21.18281,21.37595,31.21595,33.01181,29.71397,0
175,26.27523384,33.86758,26.10372,26.26795,29.25576,31.42463,33.68146,34.28411,31.93479,33.12489,31.67793,33.65701,32.02537,22.50866,21.43067,21.39308,21.98355,32.20563,31.16378,32.04115,21.11516,20.90645,21.86117,21.19456,27.11177,28.23641,21.94019,32.65069,31.11004,33.96364,25.159,21.31293,21.09326,21.18281,21.37595,31.18484,33.09731,32.00471,0
176,29.6437647,33.5812,26.78622,27.10293,22.97275,30.82689,26.57659,33.91039,31.93211,31.61476,30.92065,33.11909,32.39153,22.50866,21.43067,21.39308,21.98355,24.06377,27.90109,35.19907,21.11516,20.90645,28.63334,21.19456,28.18562,29.73978,21.94019,30.78125,31.55301,32.80839,20.32437,21.31293,21.09326,21.18281,21.37595,33.76553,32.92597,33.36054,0
177,32.25655763,31.42896,21.76825,26.01421,29.53775,27.72514,30.11127,34.06419,29.13034,29.95589,32.25546,30.5674,27.80202,22.50866,21.43067,21.39308,21.98355,29.43245,30.80729,30.07043,21.11516,20.90645,28.64344,21.19456,29.86562,26.90352,28.41101,30.27262,27.36919,33.87425,25.58961,21.31293,21.09326,21.18281,21.37595,29.72826,35.2711,27.34363,0
178,26.27523384,34.13379,26.74567,26.15839,28.98194,31.82216,33.03207,32.87564,32.10593,32.57213,31.51775,33.64414,31.80194,22.50866,21.43067,21.39308,21.98355,29.61769,31.39006,34.28636,21.11516,20.90645,21.86117,27.2702,31.91992,28.07768,21.94019,31.50886,31.82891,33.58358,20.32437,21.31293,21.09326,26.68332,21.37595,24.56089,33.08478,32.23764,1
179,31.82228667,32.24862,25.46541,22.81349,27.50438,31.74571,31.83385,33.71362,31.09448,32.49485,33.26265,33.66819,32.43816,22.50866,21.43067,21.39308,21.98355,29.22295,27.91162,34.24887,21.11516,20.90645,21.86117,21.19456,32.22575,28.90378,30.40263,30.97069,30.01069,34.20252,20.32437,21.31293,21.09326,21.18281,21.37595,29.86003,32.15581,32.35205,0
180,32.44302221,26.45839,26.21286,26.00386,29.33309,29.34334,32.18353,32.85734,30.93542,30.80994,32.82879,32.91448,29.38773,22.50866,21.43067,21.39308,21.98355,30.19296,27.74935,31.70974,21.11516,20.90645,28.9532,21.19456,33.85911,28.47077,28.03244,32.15284,30.86975,35.10128,26.59326,21.31293,21.09326,27.56092,21.37595,34.54019,32.88606,27.34363,0
