,AKT1,ANXA1,ANXA2,APAF1,APC,ARID1A,ATM,AXIN2,BAP1,CARD11,CASP2,CCND1,CDKN2A,CRADD,CRYAB,CTNNB1,CTSD,DLC1,DNMT1,DNMT3A,EPAS1,ERBB2,ERN1,FLT1,FLT4,FN1,FOSL2,GSTP1,HNF1A,HNF4A,HSPA9,HSPB1,HSPD1,IGF1R,IL6,IL6R,INSR,JUN,JUNB,JUND,KDR,KIF1B,L1CAM,LRRK2,MAP2K1,MAPK8,MTOR,MYC,NDRG1,NF2,NFE2L2,PAK1,PIK3CA,PTEN,PTGS1,PTGS2,RELA,RET,RHEB,RNF139,SDHA,SETD2,SFRP2,SHANK1,SLC2A1,SOD2,SRC,STK11,TGM2,TP53,TSC1,TSC2,VEGFA,VHL,Y
40,33.94770136,36.29966038,37.75908073,32.93078448,34.50271728,34.45945238,35.50924774,31.72362986,32.57990639,32.0623424,34.42109556,33.56106722,24.50161888,32.8253,39.55825,35.20336,36.79104,34.54061,35.05612,32.93657,35.23492,35.68377,29.91295,31.04415,31.05363,34.78804,36.63733,36.32542,34.21525,33.65469,36.39782,38.63554,38.02708,35.86494,24.29608,32.08242,33.48718,31.58941,30.94655,36.35943,28.56669,34.11039,29.74259,37.22952,33.68341,31.83553,33.30874,32.75363,36.11471,34.84638,36.33419,33.19528,32.81433,37.70073,24.29711,28.73119,33.00013,23.6062,35.50387,32.90856,35.6611,33.52124,24.04684,29.73512,30.85643,35.89994,32.65935,33.84575,34.01602,34.61866,33.07849,35.34515,34.98679,30.89403,0
41,34.84979332,36.37849358,37.38323778,33.07682283,34.28237319,34.12878827,36.63692229,29.91965406,32.50566564,30.36397944,33.37770532,35.23848358,31.29942329,32.61864,39.37065,35.92035,36.74878,34.38559,36.47745,31.52846,38.4452,33.48815,32.96142,35.37193,33.43545,39.49931,35.58843,35.51222,30.97334,33.7152,37.30357,37.87147,37.10294,36.43154,31.81679,32.68186,34.977,35.17759,33.99944,35.65199,32.87352,33.80849,30.78843,33.6148,34.16485,34.82685,33.69631,33.78048,39.89516,33.60426,34.60247,33.2176,34.20215,37.95014,33.19971,30.76521,33.24348,27.47127,34.47808,33.36947,35.7411,32.93344,30.98936,29.84344,33.7496,38.66722,31.79761,34.38478,36.37458,32.99527,32.80056,35.38017,39.49356,31.16832,0
42,34.15731086,36.50139369,36.83663997,34.40977279,33.90550221,33.23584501,35.40827872,29.44037503,32.60498455,29.62668623,34.94895721,37.73446737,31.35757337,31.56545,41.17953,35.29629,37.855,32.66613,35.7307,33.19031,36.61642,31.92299,33.42467,34.4881,32.13022,36.7362,35.47765,32.26697,32.27765,33.86719,37.73952,39.06934,37.55218,35.25765,34.89661,33.91846,34.67558,34.65719,32.55231,35.51888,32.11493,34.41524,30.70472,33.73937,34.60684,32.73182,32.88711,32.73028,40.58143,34.0974,35.33536,33.61085,30.91756,36.74205,32.49355,32.74399,32.52824,23.6062,34.10888,32.14281,35.29283,32.57248,24.04684,27.42839,34.4999,38.88016,32.88131,33.90169,35.11495,34.01316,32.37043,34.93594,39.48724,30.68011,1
43,34.26903929,36.2782924,36.96318557,32.74575497,32.75614199,34.62830147,35.09397636,30.98216562,34.61933815,30.76024195,35.07835261,35.88725516,32.04858305,34.03898,36.98456,36.10113,37.34487,34.1828,34.66999,31.33706,38.00481,32.98295,34.44152,34.65388,32.74965,38.53212,36.1351,36.14214,32.74297,34.03126,36.17426,37.53683,35.55743,35.59419,32.11174,33.45388,34.99292,35.00249,34.21932,36.89922,31.75301,34.27923,32.37265,33.75347,34.24828,32.67199,33.94408,33.89033,39.01966,34.03372,33.7938,33.93179,33.09723,35.13166,31.50154,30.93117,34.21175,30.492,33.50535,31.34658,36.56891,33.82452,32.9978,25.68202,33.90584,37.55104,32.35046,33.08544,37.26843,34.39162,32.82349,35.49249,39.71235,32.08039,1
44,34.28549158,36.53428727,37.03401624,33.52503324,34.52568254,33.35795877,36.66304664,30.70406135,32.58586389,31.16161614,33.90159986,34.60892686,32.01187308,32.92985,38.82825,35.82344,37.3665,34.4424,34.39077,31.46514,37.89336,32.87087,33.24442,35.7537,31.8832,37.97437,35.72527,33.46962,32.77501,34.69819,37.25479,37.17653,36.77722,34.93847,30.75427,33.33818,35.49697,33.35103,33.06931,35.13315,33.66441,34.18311,28.53376,35.78852,33.58653,33.32718,33.46656,33.12448,39.35613,34.11393,35.30846,34.03345,32.68197,36.58375,31.11893,31.38885,32.8685,26.28717,34.89248,33.41232,36.02743,33.44724,33.74748,27.22119,33.60191,38.92892,31.80236,33.88892,36.06673,34.48647,33.29182,34.99147,39.37661,32.71556,0
45,34.69873934,35.21935006,37.81207556,32.87135343,33.11997507,34.05732813,36.13931747,30.03338065,32.18714302,33.01435288,34.52764788,37.00752407,31.43399073,32.48044,37.93784,35.42169,37.27896,33.10226,36.04356,33.47077,36.9876,33.73597,33.58998,35.17907,32.68445,40.59352,35.55693,34.01085,32.13743,33.51514,36.38353,37.50698,36.88722,35.32864,30.52482,33.72144,34.31994,33.24249,32.25899,35.5094,32.81622,34.18014,33.89808,33.9706,34.07904,32.88587,33.56956,33.01985,39.85025,34.23243,35.4622,34.00374,31.78535,35.74978,32.16751,30.21234,33.30386,26.69622,34.44423,31.91383,36.12445,33.34949,25.90982,27.33636,35.29404,39.53418,32.429,34.08591,36.98772,34.42311,32.65885,35.25119,39.83454,31.87425,0
46,34.81284047,35.90804563,36.73098673,32.12005773,33.85818803,33.69223209,35.73293852,29.02299834,33.58688429,31.91797404,34.36835171,38.10095647,32.01199423,32.27426,39.45164,35.92002,36.83047,33.39943,35.25047,33.05112,38.35481,34.36034,34.16145,35.26171,33.77721,38.00853,36.13897,36.12837,32.93471,32.5123,35.80593,37.33442,36.01531,35.12369,27.97473,33.93401,35.97203,34.51016,33.36722,35.95273,33.66571,33.34006,31.38347,34.4106,34.35495,32.12006,33.25962,33.67372,39.84867,34.0885,34.85154,33.93217,32.46032,35.82186,31.78474,29.04552,33.88932,28.22031,33.04252,31.56153,36.49797,32.93132,31.76684,27.26619,33.98745,38.0097,32.6744,34.68435,36.59557,33.81581,33.82437,35.62517,38.95075,32.35922,0
47,34.75253331,36.38928882,36.87487233,32.54110929,34.15412449,33.96109989,35.36794528,31.42990103,33.3055895,30.28647316,33.07375528,34.52142759,27.29750934,32.73001,38.83514,36.51368,35.40507,34.93645,35.84911,32.14511,38.89628,33.76615,32.18427,33.45075,32.20219,39.09527,37.12624,35.64933,26.49825,24.13436,36.15032,39.41761,36.82377,35.78115,36.06162,32.47138,34.38745,35.62168,35.62133,37.38708,31.78642,34.74753,32.89986,33.60612,33.44622,33.32642,34.02103,34.97133,37.99016,33.57292,35.49411,33.84398,33.5826,36.89413,30.99244,34.72579,33.52055,27.07152,35.05652,32.52915,35.73449,34.15246,33.67181,28.69136,32.34285,37.27455,31.9503,33.77328,36.46121,33.06353,33.66321,35.21581,35.61525,32.10457,1
48,34.4453329,34.71298969,36.537545,33.24161936,33.687675,33.56645231,36.77353862,28.06000357,33.18902523,30.26760149,34.46966531,37.09162818,31.81557703,33.87562,38.47456,35.96891,36.77997,34.46027,35.09919,32.31009,38.46163,34.64565,32.39684,36.52825,33.42981,37.62,34.90229,36.30616,33.54551,34.81309,37.153,37.25707,36.68184,36.04763,28.14811,34.21087,36.00114,31.98268,31.97338,33.84537,34.24817,34.53039,30.17392,34.8281,33.81146,33.67507,33.7697,33.07699,40.5768,34.05693,34.95511,34.71478,33.47121,36.33043,34.3742,29.09394,33.38135,28.67647,33.78633,32.54575,37.49703,32.72412,27.52798,21.22103,33.61375,38.70526,32.65864,33.46511,34.37399,34.17134,33.45978,34.83739,40.2246,32.45241,1
49,34.81259634,36.89593015,38.00187426,33.60339346,33.99341638,34.00674964,36.14926077,32.18612188,33.65028971,31.20961213,33.93538723,32.09382462,30.31906938,32.10637,38.1155,35.86368,37.47004,31.46383,36.31083,33.31033,35.79973,33.2726,33.53127,31.44769,28.11419,39.15374,36.20093,36.08687,30.75541,26.91701,37.10341,37.9663,36.83099,34.89587,33.72567,34.14761,32.52073,34.65313,34.34919,36.27893,33.85384,34.12244,33.57371,34.13115,34.63776,32.94489,34.02742,33.08997,39.32286,34.00034,35.76263,34.42791,32.83667,36.31583,32.2921,31.93464,33.0429,25.8187,34.46044,32.34733,36.05214,33.70162,25.12345,27.24873,33.12969,39.1851,32.90089,33.95286,36.30155,34.72803,33.79821,35.7106,36.47364,32.98937,0
