,id,AGO1,AGO2,AGO3,AGO4,ATM,BLM,BRCA1,CCNH,CDK7,CETN2,COPS5,CUL4A,CUL4B,DDB1,DDB2,DDX20,DGCR8,DHX9,DICER1,DROSHA,EGFR,EIF4E,ELAVL1,ERCC1,ERCC2,ERCC3,ERCC4,ERCC5,EXO1,FEN1,GTF2F1,GTF2H1,GTF2H2,GTF2H3,HDAC1,HSP90AA1,HUS1,LIG4,MNAT1,MOV10,MSH2,MSH3,MSH6,NPM1,PABPC1,PARP1,PCBP2,PCMT1,PIWIL1,POLD1,PRKRA,PSMC2,RAD23A,RAD23B,RBX1,RPA1,SLX4,SMARCB1,SRRT,TARBP2,TCEA1,TNRC6A,TP53,UBE3A,UBE4B,UBQLN1,XPC,XRCC5,XRCC6,Y
23,23,31.97177448,33.52597868,33.04224128,30.68920443,35.25027246,31.60819337,33.50018256,34.5487848,33.37859984,31.54670668,33.58254064,33.03011,34.38432,34.75423,31.99673,30.97485,31.713,34.93055,34.13432,34.71303,34.961,34.73438,32.67616,35.0993,32.18626,33.53963,32.38266,33.08018,31.3997,32.05588,33.81694,32.54166,33.78479,32.21049,33.50361,36.0537,33.00405,30.37186,32.70396,34.43743,32.61806,33.04885,33.93337,38.59228,38.9481,35.81523,37.4474,32.41071,22.08228,32.68218,33.01738,34.67486,34.28355,35.80934,32.81517,32.85337,31.3263,34.36544,35.21321,30.80615,34.8049,33.01449,33.6812,34.60144,33.28693,34.18138,32.37789,34.7909,35.57161,0
24,24,30.81750572,33.75415165,32.70970037,32.93770302,37.60053307,33.13800239,33.78225864,34.86281957,34.13966886,31.44915525,33.21597558,33.71916,33.95856,34.93121,33.71994,30.41799,31.69693,34.8547,34.97299,35.28238,33.58247,35.4752,32.73252,35.70207,33.04299,33.70076,32.18075,34.68269,22.41623,29.37968,33.46914,33.20883,32.5572,33.60437,35.10929,38.30555,32.75054,33.03244,32.80768,33.16446,32.86058,33.19409,34.56182,39.05715,39.59901,36.11544,38.00584,32.08603,22.08228,30.91523,33.59993,34.59539,33.83455,35.6695,32.18133,33.14681,30.24696,34.15864,34.5402,31.3563,34.61327,33.92566,35.33226,35.65586,33.50091,35.14034,33.58037,35.16721,35.77539,1
25,25,31.38667073,34.50219789,34.05206561,32.12762288,35.03192831,30.95939872,31.70349158,33.73151056,33.86265501,30.09458585,33.2657161,34.09844,33.89361,34.78677,33.40085,31.71171,31.69125,34.79427,35.15281,35.07814,34.76345,35.18776,32.01811,34.99914,32.18172,32.91924,32.61878,33.58727,30.13936,29.27779,33.42186,32.4249,32.12889,31.59506,33.55433,36.87777,32.87533,32.13504,32.78036,34.45766,31.3741,32.74169,33.45645,38.05441,39.5058,35.07313,37.87552,32.83268,22.08228,33.15607,33.28558,33.406,34.16166,35.22147,32.52817,33.05899,30.8712,35.15382,34.69754,32.83283,34.11419,33.89149,35.21132,34.05948,33.58601,33.88629,31.6211,34.72989,34.45271,0
26,26,31.34826833,34.02205742,32.88996999,31.4717113,36.20924656,30.92233195,32.49181625,34.16191147,34.62245677,32.05170592,34.02746609,33.4328,34.08857,34.30816,33.15429,31.51217,32.37588,34.88064,34.79424,35.34968,35.8497,33.63698,32.66201,34.72863,34.07866,33.05393,32.86734,32.79676,30.44024,30.4645,33.38602,33.35138,34.66849,32.63897,33.68891,36.29654,32.83204,31.94123,32.59011,34.35093,33.29689,33.77823,33.36956,39.88184,40.25807,34.27245,38.58396,32.44611,22.08228,31.56095,34.00139,34.99903,34.1358,35.45228,33.74303,34.04286,31.283,33.64327,34.53622,31.92808,34.85525,35.5056,33.90713,34.52652,33.54631,33.90465,33.22431,35.67808,35.61005,1
27,27,31.88649755,35.02225965,34.6898948,31.55369241,36.28491755,31.16019201,32.47374831,34.80414033,33.34603873,31.29455921,33.81698122,33.17534,34.01345,34.9764,34.04385,30.92452,32.32175,35.42761,35.78297,34.92266,34.29509,35.048,32.68181,35.7753,32.47517,33.90474,32.01034,33.88684,29.66739,31.62977,34.52859,33.29703,34.00413,31.82412,33.33086,35.75651,32.2236,30.54431,33.49232,34.92748,33.29018,32.69336,34.14139,38.74228,39.09695,33.53215,38.73105,32.52135,22.08228,32.58826,33.63656,33.42323,34.29927,35.2254,32.86644,32.75597,31.51556,34.99301,35.09691,30.2694,34.9432,34.73047,33.89237,33.97916,34.28161,34.20035,33.5284,34.44176,35.54212,0
28,28,31.54744574,33.83105506,32.91287873,31.87560759,37.01765579,32.91935813,30.1766146,33.44391196,32.93127107,31.79915623,33.11254946,34.5669,34.42761,34.72405,33.38036,32.03987,32.55635,35.32988,35.16234,35.86206,36.12963,34.34092,31.4866,34.94549,32.62765,34.50222,31.41709,35.26998,31.7681,32.83733,33.19904,33.03969,33.37809,31.73867,33.19501,36.37469,32.81435,33.51693,30.58717,33.62224,33.35848,33.61832,34.10497,38.60773,39.34125,34.35033,38.14659,33.52024,32.39152,31.07809,34.26668,34.47507,33.90099,34.60055,32.1615,32.66858,30.49673,34.0877,34.96696,30.8583,33.4926,36.51474,33.90675,35.08364,34.72289,33.97493,32.59051,35.23784,34.94679,0
29,29,31.28227614,35.19919587,33.55094918,32.70886079,35.82717378,31.51281552,34.35399522,35.15463127,32.95801837,31.41955281,33.21492712,34.22502,33.27502,34.42715,32.99409,32.82898,32.55635,35.17289,35.20348,35.27219,34.56808,34.66897,32.86433,35.72139,33.16603,33.42183,31.25153,33.63681,28.85229,31.75449,32.93804,32.48359,32.96883,31.6077,33.80943,36.94477,32.93026,31.07506,32.49432,34.69153,32.27521,32.58589,32.71972,37.93449,39.01853,34.86087,37.07561,33.37125,29.08049,32.01469,32.01678,33.9446,34.1044,34.94117,32.54692,33.54959,31.30136,34.90903,35.86826,30.82558,35.79835,34.76881,35.6213,34.52243,33.3184,33.98937,32.67732,34.45172,35.11453,0
30,30,31.3212446,33.13042489,33.10661522,31.47367008,36.4251727,32.18821241,32.21607895,34.03483484,34.41652688,32.85795076,33.58039287,34.08783,34.47665,34.33851,33.19443,31.73233,32.38479,35.01728,34.27798,34.14638,35.01586,35.28948,32.77762,34.5147,34.1869,33.54699,32.32035,34.26368,30.59433,30.67424,33.43083,33.71988,34.28609,32.95216,33.31424,37.43923,32.94089,32.17359,32.9272,33.93247,33.05223,33.45841,33.73917,39.53575,39.31012,34.48179,37.69372,33.08179,27.84748,30.51342,33.54669,34.85747,34.00299,35.69487,34.02494,33.71396,30.29692,34.52521,34.54614,30.17264,34.20353,34.13529,34.77403,35.0716,32.55563,34.51349,32.64322,35.25511,35.98947,0
31,31,32.56355825,34.89972163,32.53808667,31.14469964,35.51042474,23.07916965,32.48909182,33.2205857,34.34899994,33.24991401,32.78340402,33.79857,34.26203,35.89023,33.34344,30.32041,31.25451,34.61095,35.74062,35.55229,35.30294,34.40775,32.78515,34.26416,32.80835,34.46754,30.50339,32.89209,28.31138,32.21926,32.07788,31.11893,34.10867,33.20242,34.33636,35.95076,32.78151,31.97848,33.9521,33.9555,33.53737,31.63693,33.59192,37.31024,39.06414,33.52706,38.05616,33.14376,22.08228,33.49551,31.08421,33.13871,34.28301,35.71484,32.78704,33.19196,31.18373,34.44147,34.09101,29.79486,33.69649,35.29694,36.5513,33.55436,33.13836,33.7035,32.65392,35.41743,34.52534,1
32,32,31.54309393,33.70682217,34.17980883,31.71241995,35.4191848,30.96648233,32.17821885,33.44375429,33.76455965,31.3254322,33.91349325,33.58413,32.99715,35.75274,33.14505,31.51999,32.0074,34.94071,34.90763,34.26965,34.48693,34.14593,32.18141,35.21592,33.07051,33.27328,32.07017,34.18027,29.99998,30.76384,33.86448,32.72279,33.61574,32.79691,33.16789,36.26359,31.69805,30.83485,33.67638,34.0419,31.75307,32.8727,33.00218,38.30124,39.25943,34.37234,37.5935,32.65099,22.08228,32.08207,33.72604,33.84912,34.85248,35.0011,32.84543,33.20355,31.69368,34.30392,34.74528,32.82905,35.36824,34.72698,33.46325,33.99065,33.54087,33.96868,32.78068,34.62586,35.24737,0
