	#node1	node2
318	PRKAA2	CAMKK2
319	PRKAA2	PRKAG1
320	PRKAA2	PRKAA1
321	PRKAA2	PRKAG3
322	PRKAB1	PRKAG3
323	PRKAB1	PRKAB2
324	PRKAB1	PRKAG2
325	PRKAB1	PRKAA1
326	PRKAB1	PRKAA2
327	PRKAB1	PRKAG1
328	PRKAB2	PRKAB1
329	PRKAB2	PRKAR2A
330	PRKAB2	PRKAR1A
331	PRKAB2	PRKACA
332	PRKAB2	PRKAG3
333	PRKAB2	PRKAA1
334	PRKAB2	PRKAG2
335	PRKAB2	PRKAA2
336	PRKAB2	PRKAG1
337	PRKACA	PRKAB2
338	PRKACA	PRKAR2A
339	PRKACA	PRKAR2B
340	PRKACA	PRKAG2
341	PRKACA	PRKAA1
342	PRKACA	PRKAG1
343	PRKACA	AKAP1
344	PRKACA	AKAP4
345	PRKACA	AKAP14
346	PRKACA	PRKACG
347	PRKACA	AKAP5
348	PRKACA	PKIA
349	PRKACA	PRKACB
350	PRKACA	PRKAR1A
351	PRKACA	PRKAR1B
352	PRKACB	PRKAR2A
353	PRKACB	PRKAR2B
354	PRKACB	AKAP8
355	PRKACB	PRKCE
356	PRKACB	PRKACA
357	PRKACB	PRKAG1
358	PRKACB	PKN1
359	PRKACB	AKAP9
360	PRKACB	AKAP4
361	PRKACB	AKAP13
362	PRKACB	PKIA
363	PRKACB	AKAP1
364	PRKACB	AKAP5
365	PRKACB	AKAP14
366	PRKACB	PRKACG
367	PRKACB	PRKAR1B
368	PRKACB	PRKAR1A
369	PRKACG	PRKAR2A
370	PRKACG	PRKAR2B
371	PRKACG	AKAP8
372	PRKACG	PRKCE
373	PRKACG	PRKACA
374	PRKACG	PRKAG1
375	PRKACG	PKN1
376	PRKACG	AKAP9
377	PRKACG	AKAP13
378	PRKACG	PRKACB
379	PRKACG	AKAP14
380	PRKACG	AKAP1
381	PRKACG	AKAP5
382	PRKACG	PRKAR1B
383	PRKACG	PRKAR1A
384	PRKAG1	PRKAB1
385	PRKAG1	PRKAB2
386	PRKAG1	PRKAR2A
387	PRKAG1	PRKAR2B
388	PRKAG1	AKAP8
389	PRKAG1	PRKAG2
390	PRKAG1	PRKCE
391	PRKAG1	PRKACA
392	PRKAG1	PRKAR1A
393	PRKAG1	PKN1
394	PRKAG1	AKAP13
395	PRKAG1	AKAP9
396	PRKAG1	PRKACG
397	PRKAG1	PRKACB
398	PRKAG1	PRKAA1
399	PRKAG1	PRKAA2
400	PRKAG2	PRKAB1
401	PRKAG2	PRKAB2
402	PRKAG2	PRKAR2A
403	PRKAG2	PRKAR1A
404	PRKAG2	PRKACA
405	PRKAG2	PRKAG1
406	PRKAG2	PRKAA1
407	PRKAG2	PRKAA2
408	PRKAG3	PRKAB1
409	PRKAG3	PRKAB2
410	PRKAG3	PRKAA1
411	PRKAG3	PRKAA2
412	PRKAR1A	AKAP10
413	PRKAR1A	PRKAB2
414	PRKAR1A	PRKX
415	PRKAR1A	PRKAR2A
416	PRKAR1A	PRKAR2B
417	PRKAR1A	PRKAG2
418	PRKAR1A	PRKACA
419	PRKAR1A	PRKAG1
420	PRKAR1A	PRKAA1
421	PRKAR1A	AKAP4
422	PRKAR1A	PRKACB
423	PRKAR1A	PRKACG
424	PRKAR1A	AKAP5
425	PRKAR1A	AKAP7
426	PRKAR1A	AKAP1
427	PRKAR1A	PRKAR1B
428	PRKAR1B	AKAP10
429	PRKAR1B	PRKX
430	PRKAR1B	PRKAR2A
431	PRKAR1B	PRKAR2B
432	PRKAR1B	PRKACA
433	PRKAR1B	PRKACB
434	PRKAR1B	PRKACG
435	PRKAR1B	PRKAR1A
436	PRKAR1B	AKAP1
437	PRKAR2A	AKAP10
438	PRKAR2A	PRKAB2
439	PRKAR2A	PRKX
440	PRKAR2A	PRKAA1
441	PRKAR2A	PRKAG2
442	PRKAR2A	AKAP5
443	PRKAR2A	AKAP1
444	PRKAR2A	AKAP7
445	PRKAR2A	PRKCE
446	PRKAR2A	PKN1
447	PRKAR2A	PRKAG1
448	PRKAR2A	AKAP14
449	PRKAR2A	PRKAR1A
450	PRKAR2A	PRKAR1B
451	PRKAR2A	AKAP4
452	PRKAR2A	AKAP13
453	PRKAR2A	AKAP8
454	PRKAR2A	AKAP9
455	PRKAR2A	PRKACG
456	PRKAR2A	PRKAR2B
457	PRKAR2A	PRKACA
458	PRKAR2A	PRKACB
459	PRKAR2B	AKAP10
460	PRKAR2B	PRKX
461	PRKAR2B	PRKAR2A
462	PRKAR2B	AKAP14
463	PRKAR2B	PKN1
464	PRKAR2B	PRKCE
465	PRKAR2B	PRKAG1
466	PRKAR2B	AKAP8
467	PRKAR2B	AKAP13
468	PRKAR2B	AKAP1
469	PRKAR2B	AKAP9
470	PRKAR2B	PRKAR1A
471	PRKAR2B	AKAP5
472	PRKAR2B	PRKAR1B
473	PRKAR2B	PRKACB
474	PRKAR2B	PRKACA
475	PRKAR2B	PRKACG
476	PRKCA	PRKCG
477	PRKCA	PRKCE
478	PRKCA	AKAP5
479	PRKCA	AKAP12
480	PRKCD	MAPK3
481	PRKCE	PRKAR2A
482	PRKCE	PRKAR2B
483	PRKCE	PRKCA
484	PRKCE	RPS6KB2
485	PRKCE	PRKACB
486	PRKCE	PRKAG1
487	PRKCE	AKAP9
488	PRKCE	PRKACG
489	PRKCE	PKN1
490	PRKCG	PRKCA
491	PRKCI	PRKCZ
492	PRKCQ	MAP3K7
493	PRKCQ	LCK
494	PRKCQ	PDPK1
495	PRKCZ	PRKCI
496	PRKCZ	MAPK7
497	PRKCZ	PDPK1
498	PRKD1	AKAP13
499	PRKDC	MAPKAP1
500	PRKG1	TAB1
501	PRKG1	MAPK14
502	PRKX	PRKAR2A
503	PRKX	PRKAR1B
504	PRKX	PRKAR2B
505	PRKX	PRKAR1A
506	PTK2	MAPK1
507	PTK2	MAPK8IP3
508	PTK2	PAK1
509	PTK2	PAK2
510	PTK2	LCK
511	PTK2	GIT1
512	PTK2	PAK3
513	PTK2	PAK4
514	PTK2	GIT2
515	PTK2B	LCK
516	PTK6	DOK1
517	RPS6KA1	MAPK1
518	RPS6KA1	MAPK3
519	RPS6KA1	RPS6KA3
520	RPS6KA1	RPS6KA2
521	RPS6KA2	MAPK1
522	RPS6KA2	MAPK3
523	RPS6KA2	RPS6KA1
524	RPS6KA3	MAPK1
525	RPS6KA3	MAPK3
526	RPS6KA3	RPS6KA1
527	RPS6KB1	PDPK1
