,ACAD10,ACTB,BANF1,CCDC22,COMMD3,COPS7A,DLGAP4,DRD2,EIF4E,GPR155,GRIN1,GYPE,HOMER1,IL25,IL6,KDM1A,KLHL5,LEMD1,MORF4L2,NASP,PCMT1,RANBP2,RP11-96O20.4,SDR42E1,SUMO1,SUPT16H,TARBP1,TARBP2,TRIM43B,TRMT6,XPC,ZSCAN4,Y
10,32.94378569,41.37679477,35.08717968,31.34488147,33.29644673,34.25801976,34.92481,30.63182,34.38393,30.99341,21.93735,23.05703,31.31061,21.08036,30.78458,33.00628,33.13178,22.39503,33.98279,34.42664,32.90148,35.4477,21.18753,29.34315,35.10556,32.94085,33.24917,30.03707,21.9744,31.95922,32.89884,22.02469,0
11,33.25778915,40.57151741,34.07275804,31.01577932,33.95036676,32.17197581,34.28751,22.29581,35.32077,33.43832,33.00264,31.10212,29.29101,21.08036,30.33543,32.85554,33.17803,22.39503,32.6151,34.74276,32.79776,35.78899,21.18753,27.30181,34.23835,33.22711,34.44203,31.36318,21.9744,30.83976,32.39582,26.03383,0
12,33.02969374,39.23928845,33.06533863,31.48811545,33.22982573,34.40953898,34.50393,22.29581,32.53927,32.97207,26.72968,23.05703,33.05508,21.08036,24.29608,32.84918,33.9762,22.39503,32.52372,34.18575,30.97341,35.26778,21.18753,28.26074,34.78492,32.81209,33.47364,32.02799,21.9744,31.40684,32.33806,22.02469,0
13,33.38328687,40.24125135,32.17579416,32.5096624,31.0148314,34.04116601,35.11937,22.29581,32.34039,30.37875,21.93735,23.05703,29.64486,21.08036,24.29608,32.12041,33.83978,22.39503,34.17736,35.0982,30.74535,35.35638,21.18753,30.04147,31.46376,32.1719,33.64162,31.05249,21.9744,30.615,32.64931,26.7376,0
14,33.50678241,40.36683203,34.74542045,32.44980286,32.28778503,34.33352916,35.28042,22.29581,33.37612,31.33487,21.93735,23.05703,29.42445,21.08036,30.36969,32.00151,32.61374,30.69432,34.01048,34.75867,30.85651,35.28604,21.18753,28.46638,33.30706,32.39067,33.0492,32.87979,21.9744,31.50286,33.06521,22.02469,0
15,33.17353309,39.74889482,33.3701484,30.78878369,30.7055058,33.54419449,35.69948,27.68544,33.41421,29.97411,21.93735,23.05703,33.02526,21.08036,32.50609,32.51631,34.51924,22.39503,33.99061,35.87656,32.43069,36.70212,21.18753,27.30657,33.45887,32.80878,33.31094,31.40995,21.9744,31.47502,32.1451,22.02469,0
16,33.21572479,41.47560031,35.31802191,32.29507989,32.94009944,33.65925477,35.32885,26.96027,33.90194,30.2378,27.28807,23.05703,30.60363,21.08036,33.27356,33.14825,33.66095,22.39503,33.23177,34.03963,33.08878,35.5375,21.18753,31.98039,34.09759,33.06661,33.52538,32.33566,21.9744,32.10375,31.96266,22.02469,0
17,33.89103812,40.87131202,34.56929722,31.09472788,32.97072128,34.55325313,35.00336,29.1915,33.02118,31.94156,21.93735,23.05703,28.88644,26.38859,31.68836,33.40729,33.11678,22.39503,33.67687,34.31414,32.9797,35.83611,21.18753,27.8854,33.55399,32.59492,32.75978,32.4819,21.9744,29.87291,33.16377,22.02469,0
18,32.32055071,39.78887033,34.72633651,31.20968547,32.918611,32.62186631,34.30324,22.29581,33.88608,31.29751,21.93735,27.98703,32.07329,21.08036,32.10011,32.65079,33.33659,22.39503,33.16607,35.54045,32.00942,35.50638,21.18753,29.16964,34.00955,33.18892,33.92476,30.67809,21.9744,31.21116,33.04864,29.50799,1
19,32.96989781,41.58307838,34.75709891,31.4498155,33.46452548,34.10907235,34.48021,22.29581,34.57005,32.10766,25.40883,23.05703,31.11046,24.45795,32.08382,33.15068,34.41428,22.39503,32.96021,34.80635,33.06019,36.22642,21.18753,27.91385,34.8553,33.11896,33.48778,32.11682,25.73973,32.42964,32.37011,22.02469,0
