,Target,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
10,0,-1.2506962,0.4187838,-1.0691693,-0.18629298,0.89448386,-0.67931116,0.18864879,-0.17763074,0.28201795,0.512437,-0.7651457,0.28402203,-0.22587109,0.45325628,-0.24610114,0.46489334,-0.06340178,-0.6335808,-0.9922179,-2.0348494,0.6564059,-0.014541099,-0.08773281,0.73099756,0.34568143,0.0528283,-0.0020843905,-0.043868035,1.3214153,-0.12582135,0.7422477,-0.14804885,-0.96625507,0.06554285,-0.548582,-0.21896437,0.059935585,0.78016573,0.7884453,-0.8906004,0.5561073,-0.23716773,0.8114956
11,0,-1.5437254,0.32940838,-1.2936369,0.4676326,-0.5296796,0.011158528,-1.0004872,0.2675982,-0.10023913,0.93232477,-0.17837878,-0.3768462,-0.049180806,0.1860684,0.013762411,0.2550403,-0.117619805,0.29994762,-0.28067416,-0.042080104,-0.16745342,-0.5733733,0.3260927,-0.6230405,0.39486074,0.09482386,0.63119364,0.05044643,0.013870026,0.31525123,0.7726549,0.41054636,-0.53285706,-0.8702366,0.7786867,-0.61677796,-0.27437648,2.1101844,-0.08409593,-1.546194,0.18607537,-0.16242798,1.2214594
12,0,-1.2478954,-0.058286708,-2.3334184,-0.020606238,-0.007454098,-1.0798202,-1.3725921,0.5433494,-0.65614235,0.8225584,0.34509572,0.08891661,0.09239217,0.04053862,-0.47455916,-0.508359,-0.19699536,1.045093,0.055420946,-0.6397606,-0.27302644,-0.79117185,1.4174573,-0.7539058,0.62244916,-0.9756034,0.24249133,-0.8077539,0.23872182,0.47842905,0.6654836,-0.263172,-0.6926034,0.47545516,1.1309212,-0.39787415,-0.041025873,1.9854792,-0.59591323,-1.8392296,-0.81605965,-0.14905901,0.53051466
13,0,0.33089325,-0.37421468,-2.2373598,-0.96956307,-1.449777,-0.18218121,-0.2583527,-0.14570557,0.45286024,1.0521556,-1.342266,-0.24653305,0.40212286,-0.90313274,0.19077888,0.17855856,-1.0252385,1.576299,1.812639,-1.4219165,-0.73953724,-0.5419108,1.3479271,-0.1577277,-0.79926866,-1.6728822,-0.3945579,-1.6718423,-0.41556916,0.5270786,0.952944,0.2355038,-1.3139042,0.18633434,1.6724561,0.63531405,0.40489978,0.78876424,0.07251967,-1.2270836,-2.1223357,-0.30160984,-0.378375
14,0,0.3299006,0.40896723,-1.2182411,-1.1377817,0.33592045,-0.870715,0.49224296,-0.39143416,0.0039340146,0.4174228,-1.0821613,0.54856783,0.26967156,-0.056913745,-0.06845122,-0.17328376,-1.4615351,1.1532029,0.5669771,-3.141978,-0.21870507,-0.49929836,0.44387683,0.6418906,-0.5062175,-1.5748712,-0.61516863,-1.005432,0.66535634,-0.14633349,0.7429628,-0.28456244,-1.0657173,0.59463537,0.4843855,-0.11035455,-0.1418125,0.17902079,1.0004476,-1.8268315,-1.5037024,0.1681196,-0.89679337
15,0,-0.8344108,-0.31817037,-1.0547656,-0.98948556,-1.2501812,0.5106467,-0.9934544,-0.48166183,0.44706652,0.4788936,-0.82508016,-0.4512736,1.351714,-0.5696396,0.48516318,0.3459998,-1.8110437,1.0477455,1.5519098,-1.3089538,-1.8021021,0.50900203,1.004948,0.34206122,-0.36887383,-0.36633766,-0.061840277,-1.1262693,0.69221896,1.0762204,1.179551,-0.12261633,-0.6162668,-0.062512696,0.5868366,-0.6951924,0.108691834,0.28104234,0.28270462,-1.4772934,-0.4154652,0.10855603,0.53602016
16,0,-0.8676878,0.8962052,-0.5126889,0.29000676,0.4055553,-0.5281883,-0.5876679,0.104900055,0.24863344,0.55116034,-0.6479824,-0.23309733,0.14253919,0.73382664,0.22429204,-0.19735351,-0.4330148,0.15827179,-0.14234495,-2.0646632,0.04108241,-0.67423755,0.20519137,0.49427444,0.5103804,-0.0724519,-0.743953,-0.61854476,1.1057867,-0.209427,1.2142055,-0.70950586,-0.3280436,0.05255962,-0.16341086,-0.3913421,-0.07200339,0.72111166,0.86314124,-1.6038907,0.27215365,0.6917815,0.4035774
17,0,0.3387623,0.60344976,-1.8924934,0.14405985,0.62302417,-1.3384385,0.026281372,-0.07202211,0.17127833,0.60570496,-0.17460507,-0.1725747,-0.23774426,0.2812029,0.56073296,-0.40025452,-0.27198634,0.7552123,1.0445695,-1.5099719,0.21945477,-0.96090776,0.46848914,0.1082473,0.34151545,-1.1267321,-0.12543428,-0.736521,0.009507618,0.11699946,1.3959819,-0.8690698,-1.1580025,0.07815706,0.011272728,-0.44285968,0.25772345,0.99528116,0.6084181,-1.0903807,-0.63869214,-0.049122203,-0.46674165
18,1,-0.5458747,-0.08804479,-1.8723118,0.74194604,-0.5776837,0.34582913,-1.6013892,0.42830876,0.6360932,0.41719586,-0.42817667,-0.23886505,0.7695897,-0.5706735,1.4749547,-0.6305332,-1.4244517,0.27164662,0.4092655,-1.1107887,-0.9606514,0.016776256,0.96942526,0.016801598,0.334104,-1.0477808,0.37806025,-1.2997646,-0.09257921,0.24026467,1.1879475,-0.2630453,-0.6691997,-0.3895506,-0.2582878,-0.56322837,-0.061159827,0.86606324,-0.008510672,-1.7005639,-0.55646867,0.1671803,1.0425043
19,0,-0.8394756,1.1311477,-0.22844486,-0.023856634,0.70346045,0.35459027,-0.5017592,-0.14948858,0.2715345,1.2381638,-0.13313612,-0.234742,1.0718671,-1.0340161,1.5425323,0.35776508,-0.7944166,0.3691127,-0.5268508,-2.2158866,-0.36399934,-0.2532676,-0.011574098,1.095684,0.271403,-0.15491018,-0.81141007,-0.7470116,1.5577374,0.44221827,1.7894042,-1.088341,-0.13751121,-0.6839604,0.001731627,0.5547971,0.21328174,0.62807286,1.1684855,-1.1710801,1.0401428,0.63178986,1.5552248
