,Target,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
10,0,0.0456647,-1.4336076,-1.3764418,-1.0627774,0.09177484,0.1392886,-1.0974635,-0.43931928,-0.77930367,-0.75400394,0.69561887,2.2799444,0.025650132,0.32105187,0.44440064,-0.96734685,-0.35179788,0.025236815,-0.26841378,-1.7117835,0.295785,1.6526073,1.0627285,-0.5862436,0.10138392,-0.9325168,-0.4552373,-0.237935,0.58575433,0.40463796,-0.09981385,0.20265473,-0.68595296,-0.5307653,-0.13776389,0.012923433,0.51532936,1.504435,0.8099329,0.038305305,0.10404585,-0.14423518,0.38548803
11,0,-0.64465946,0.018269017,-0.603183,-1.0458018,-0.2657905,0.6410963,0.07310145,-0.08599661,-0.97267663,-1.1474346,-0.19899498,0.5671391,-0.015912194,0.22649413,-0.96198285,-0.7127586,-0.6388204,-1.0164613,-0.534214,-0.1591529,0.1780245,0.3550024,0.83561116,-0.1734971,0.74114895,-0.10897334,-0.33296254,0.15951532,0.25369367,0.21995367,0.7960274,1.257949,-0.37736756,-0.15879536,-0.18910797,0.07290545,0.07302081,1.6297046,-0.09832763,-0.6491012,0.7996441,-0.489395,0.9614839
12,0,-0.11154778,0.45653835,-1.2356468,-1.4178221,0.332374,0.96539044,-0.64306664,-0.94614613,-0.83633065,-1.3180653,-0.21590438,1.0067405,0.09302879,0.5468225,-1.2455767,-0.9251954,-0.32446754,-0.9927296,-0.5602165,-0.32669637,0.011696738,0.5553116,0.87445,0.24008802,0.11785597,-1.2278486,-0.1674673,-0.049915127,0.30225626,0.2462462,0.99472815,1.0077597,0.23612481,-0.042561367,-0.3106634,0.199923,-0.15117583,1.1579695,0.21798497,-0.86836,0.49752778,-0.7090203,1.151389
13,0,1.3872014,0.2579724,-2.7007754,-1.0170876,-1.7524936,1.5086222,-0.7507572,-0.9239754,-0.59261155,0.28464693,0.3588479,-0.02328266,0.30950022,-0.17475785,-1.3888605,-1.1007849,0.8884435,0.3439498,-0.41452548,-0.7713059,-1.6023495,-0.49698493,1.0688313,0.6486065,0.79269785,-2.4642265,0.5095702,0.41189536,0.50882334,-0.09883383,1.7226324,-0.5166436,0.8302757,-0.9507791,-0.88638496,-1.0911522,-0.91546077,-0.1665155,1.149464,-1.1395836,0.10763459,-1.1935549,-0.30136117
14,0,0.87934226,-0.9180241,-2.0512967,-1.4458414,-0.5687099,0.53263324,-1.7859226,-1.455421,0.16070604,-0.11612395,1.270319,2.2597432,0.20436633,0.68659025,0.27428654,-1.4008074,0.6227156,0.6988454,-0.057809588,-1.6645632,-0.28550783,0.9651166,0.8168338,0.048429698,-0.3978534,-2.3049695,-0.39581823,-0.3077191,0.48825255,0.10900236,-0.11107447,-0.92920053,-0.2754617,-0.6524305,-0.71992266,-0.15617037,0.20252703,-0.034679927,0.4616092,-0.3737583,-0.23858725,-0.8642502,-0.095618404
15,0,0.27371463,-0.2595153,-1.8283352,0.103387855,-1.2544057,1.1040975,-0.95025706,-0.520763,0.25237656,0.56043994,-0.7959679,0.64630294,-0.5613583,-0.3283206,-1.4141543,-0.31058276,0.4579058,-0.1284786,-0.58269835,-1.0315231,-1.5741743,0.55629957,1.1113585,0.512388,0.78668004,-1.8860583,-0.12164098,-0.52785057,0.83385396,0.9625889,1.8682988,0.42985046,1.3949246,-0.7230205,-1.0241188,-0.28718176,-0.4215088,-0.040961284,0.64524794,-0.95353526,-0.2111965,-1.6172621,-0.83362013
16,0,-0.16793525,-0.60430104,-1.4571984,-0.5747293,-0.802284,-0.48438346,-2.2463727,-1.2914808,-0.76972777,-0.2983222,0.55913466,2.1003852,-0.8228751,0.14009203,0.31476048,-0.76228344,-0.91086614,-0.3347261,-1.903892,-1.509139,-0.48725206,1.4766027,1.3916925,-1.0073464,0.40417778,-0.50481206,-0.37598568,-0.5413301,0.4121068,1.0887694,0.5321986,-0.58186287,-0.47887045,-0.040686067,0.08685968,0.01694286,1.312824,0.48861688,0.5607828,0.603461,0.11004603,0.2830801,-0.10226941
17,0,0.6964291,-0.899123,-1.7858876,-0.44638124,-1.0173393,0.7753528,-0.647845,-0.27006063,-0.589385,-0.60551614,0.40668115,0.77868843,0.56419647,-0.3661302,0.24864905,-1.1662803,0.5794278,0.14424498,-0.10118911,-1.0814236,-0.27515605,0.7357807,1.0166348,-0.20556298,0.17878914,-1.5144312,0.23308362,-0.09275655,0.60462844,-0.2211714,-0.3613879,0.08171212,-0.32178405,-1.0190105,-0.74085605,-0.5807187,0.4427321,0.80420816,0.824979,0.25039634,0.100136526,-0.7805736,-0.6500279
18,2,0.17489213,-0.69469696,-1.8984525,-1.1123223,-0.38605586,0.49636328,-1.9457465,-1.5231928,0.052178755,-0.5204951,-0.3240188,1.8976663,-0.33742696,0.6951137,0.059130557,-1.1188118,0.2638652,-0.33878726,-0.88329333,-1.0846404,-0.15457602,1.0187167,1.411222,-1.228999,0.81788516,-1.9746565,-0.34694672,0.42923793,1.6127177,0.7579428,1.3603171,1.0372111,0.8241202,-1.1809787,-1.1667477,0.21509735,1.0450823,1.0348321,0.9566631,0.033062562,-0.015949424,-0.99978614,-0.050881997
19,0,-0.31105664,-1.1274557,-1.7583169,-0.7384415,-1.0531999,-0.5106117,-1.3744926,-0.5562575,-1.6179215,0.19404459,0.3077751,1.451588,-0.37863514,-0.7137319,1.2335101,-0.7668727,-1.0499561,-0.44004303,-0.6851026,-2.3157089,-0.25780982,1.2785861,1.0930579,-1.1030887,0.39669317,-0.023456464,0.58830327,0.011750719,-0.38932344,0.7799178,-0.026958177,-0.30051294,0.4526739,-1.1015751,-0.74023503,-0.14312774,0.8532768,1.655011,0.26973668,0.61035204,0.055238027,-0.40445203,-0.4382582
