,ACKR3,ACTN4,AHR,AKT1,ALB,ANGPT2,ANXA2,APLN,APLNR,AR,ARHGDIB,AVP,AVPR2,BCCIP,BCL2,CA9,CCND1,CD274,CD28,CD34,CD44,CDKN2A,CEACAM1,CHI3L1,CLDN7,CRP,CTLA4,CTNNB1,CUBN,CUL2,CXCL12,CXCR4,DNMT1,DYSF,EPAS1,EPCAM,EPHA2,EPO,ERBB2,ERBB3,ERBB4,ESRRA,FERMT2,FLOT1,FLT4,FN1,FOLH1,FOXP3,GATA3,GSTM1,HIF1A,HMMR,HNF4A,IGFBP3,IL13RA2,IL2,IL6,JADE1,KIT,KPNA2,LDLR,LOX,MAP3K5,MAP3K8,MAPK3,MET,MME,MMP2,MMP9,MTOR,PDCD1,PDGFRA,PIK3CB,PIWIL1,PIWIL4,PKM,PTEN,PTPRU,RBX1,SDHB,SDHC,SERPINE1,SLC6A3,SND1,SOX2,SPARC,SPOP,STAT3,TCEB1,TEK,TERT,TGFA,TGFBI,TICAM2,TIMP1,TMED7-TICAM2,VCAM1,VDR,VEGFA,VHL,WWOX,Y
10,32.90884544,38.05961827,33.47888061,34.7454573,32.31403943,32.38993396,37.02080643,34.46050105,31.97483504,31.88347093,35.92773383,21.24941462,28.274229,33.87575863,33.39902052,34.57482588,37.27553631,31.49957604,30.86516136,34.54066255,35.86383995,31.22993976,32.72861839,30.07218966,28.2368547,22.09712,30.68059,36.05635,37.05873,32.94458,35.27916,33.67377,35.57285,34.85647,38.48123,30.147,33.51033,25.9676,33.48126,35.75211,32.46272,31.47384,32.96216,35.45881,33.81109,39.26423,33.9707,29.39601,31.56964,35.63247,35.85519,29.78177,33.04939,35.60852,30.0611,22.61387,30.78458,31.92286,30.39939,33.13967,32.30518,33.75362,32.35111,32.39292,34.49076,35.39907,33.61183,35.6205,33.61903,33.77177,28.45895,32.09032,33.2112,23.32814,30.75699,38.8495,36.04017,30.79497,33.01866,35.25525,36.43523,33.60433,36.12674,35.76414,22.65089,40.16206,34.05204,36.26676,33.22502,32.77763,23.98083,30.65801,35.98491,22.41477,37.16943,31.15763,35.38909,29.67936,39.95004,32.4506,34.02171,0
11,33.34315591,37.21115397,33.48510109,34.92690086,33.06211079,32.951556,35.86010973,34.76258579,29.77155129,32.22431768,35.25008738,21.24941462,29.64682814,33.73646151,34.16276281,35.32050238,38.26087578,30.55985988,31.03643618,33.37462846,35.27366325,30.47041274,32.93742887,24.49280637,28.94279326,22.09712,31.90091,35.76324,38.19653,32.89138,36.31052,34.88284,35.41438,34.70069,38.39817,34.1027,33.82059,26.37545,33.9892,36.2907,28.61526,30.29826,32.40018,34.67693,33.54799,37.0005,35.31479,28.44473,32.19952,29.72376,36.76427,28.72739,33.89764,37.21523,26.56711,22.61387,30.33543,32.74687,31.72904,32.09197,34.27995,32.14506,32.54851,32.40738,34.8213,35.42525,34.95038,31.57272,27.37995,33.04822,31.31875,24.61456,34.84802,22.08228,30.76066,38.2506,37.08172,32.15477,33.0833,35.979,36.40717,30.96719,36.41819,34.98572,22.65089,37.35917,34.01282,35.76867,33.11581,32.49353,27.34267,29.83649,33.5518,22.41477,33.63723,31.76203,36.33044,27.82328,40.20794,31.51755,33.95818,0
12,31.0129476,37.29040303,34.20411668,34.48030931,32.20552593,31.1116719,35.81796505,34.33751386,30.4729336,32.90218947,34.59901676,21.24941462,25.53899928,33.37523975,32.87817132,35.16016855,37.17888322,30.05927311,24.55881988,33.85562201,35.33561941,33.03034281,33.15349891,26.38410236,31.70601114,22.09712,23.04175,35.7924,37.17315,33.21454,34.01077,33.43984,34.33559,34.58096,38.34336,33.59869,33.47936,21.21182,34.00777,36.70767,28.02393,31.18341,32.85328,34.74806,33.97895,37.24052,32.13829,29.00389,27.30168,24.90393,35.03621,30.05842,34.07931,36.70677,29.25802,22.61387,24.29608,32.28471,29.33305,32.0455,30.52199,31.99845,32.41538,31.61126,34.78304,34.9918,35.27686,33.56772,22.78257,33.68132,25.3769,31.99067,34.04353,25.89914,30.99365,37.80275,36.26808,33.14298,32.28789,34.59894,36.09055,32.61048,34.82264,35.54968,22.65089,37.09721,33.9132,35.55964,31.5292,32.75652,21.71091,31.90357,32.91212,26.11123,34.85308,29.46467,35.61813,31.35081,39.58587,31.13415,34.71702,0
13,31.27782825,38.02721586,33.54865288,35.1086864,23.48653449,29.04331879,36.42638182,32.33633175,29.66598189,32.73953106,33.56568533,21.24941462,30.1861225,32.30414979,34.11711971,33.93234823,36.27481752,30.93927491,24.55881988,33.26879421,34.9432111,32.3295452,34.37290907,28.59577276,33.61778717,22.09712,23.04175,35.19221,36.32057,32.28371,35.26094,34.01712,35.27352,34.22728,38.16606,33.05369,34.49984,21.21182,35.05589,36.32086,30.37679,32.68227,33.19812,34.74944,34.87075,37.42384,30.39544,28.52831,30.96419,35.06024,35.18709,28.45128,33.9827,34.28049,28.11763,22.61387,24.29608,33.94997,32.32719,30.29923,31.18245,31.81437,32.35222,32.02166,34.69294,33.42526,32.34959,30.52533,27.0135,33.36477,29.5264,31.32414,32.86965,30.75249,30.0181,38.23399,35.61627,34.03924,31.3682,34.41711,34.00301,33.48422,36.94596,36.50062,22.65089,38.06785,34.73045,35.13394,27.73274,33.28263,21.71091,32.32561,34.9712,27.07161,36.15427,30.23465,35.18547,30.20571,39.35593,32.75366,34.73583,0
14,34.85080952,37.66862864,33.30582037,34.51465245,31.28963077,32.08845221,35.26911945,34.61379569,27.99352812,32.80593255,34.78871537,21.24941462,30.16497303,33.44718339,33.6083634,34.48767333,36.83716438,31.74262717,32.21334557,31.87564685,36.06330495,31.06108917,31.55755558,33.78894331,33.73480094,29.10637,32.72998,35.34379,33.54174,32.0298,32.89492,34.4649,35.54378,33.663,36.67863,33.3362,33.77472,21.21182,34.66193,34.70584,28.52716,32.28878,32.22174,35.78583,32.6584,37.66058,30.8606,29.75887,32.65205,24.90393,35.66993,29.39412,32.11753,36.27293,22.13976,31.56804,30.36969,33.23912,31.9711,32.33472,32.5346,31.93486,31.86866,33.5133,34.64409,33.65725,32.72041,33.14189,32.03669,33.15707,31.83749,32.10257,34.37131,24.89827,29.98335,37.5672,35.8713,32.8873,31.43608,33.53322,34.74261,34.47103,34.03858,35.75524,22.65089,36.75801,33.54212,36.50698,31.60114,30.40311,25.91271,30.65897,34.81563,26.48753,36.50578,31.27521,35.94079,30.96857,39.66038,32.65044,34.58169,0
15,34.04017407,37.39597198,34.9104087,35.44928247,32.02568726,34.58734159,36.07889749,34.97117889,29.91949682,29.90258507,35.3925262,21.24941462,29.38231953,33.15284698,33.18342108,32.81113127,35.38769412,29.91077032,24.55881988,32.73600335,37.91408513,32.48976994,30.83225954,31.56790413,33.97240833,22.09712,28.76388,37.18802,33.96265,32.4248,32.12733,35.05834,35.87011,34.89072,39.15707,33.30695,34.44933,29.9523,32.14913,34.05885,30.98973,32.6673,34.23896,34.66863,34.62999,38.73912,34.37835,27.64625,32.21679,34.50704,37.10284,27.32344,32.14982,35.49612,22.13976,22.61387,32.50609,32.84645,32.28071,33.22028,33.65458,32.36586,33.1325,35.17642,33.84764,36.53368,33.58098,35.09265,32.74551,33.6956,30.95524,30.32257,32.66663,22.08228,31.8249,36.34662,35.5696,31.42077,31.42947,33.25399,34.87356,37.46369,36.18679,36.16451,22.65089,38.4424,33.82055,37.27766,31.90392,31.56999,21.71091,29.99492,37.14585,28.30583,36.7073,23.71048,33.07074,30.90342,40.51132,32.45489,34.75915,0
16,33.08332188,37.83479145,34.18221181,34.63415352,30.12662363,32.49848753,38.32695844,33.54981249,31.4871891,30.08278707,35.74706834,21.24941462,28.10364697,33.65477748,32.3124317,35.7878456,36.7286197,31.44988818,31.71947217,32.88824835,36.01129845,33.14756501,31.99593048,30.8441755,31.20018902,22.09712,33.01977,35.48708,33.05512,32.54507,35.58683,34.51531,35.29405,33.58519,37.99765,33.6076,31.96762,21.21182,34.47116,35.98765,27.79437,30.34692,32.80499,35.36942,33.48843,39.46735,33.41256,28.9009,31.80667,24.90393,35.56589,30.22881,23.70446,37.64101,25.85604,22.61387,33.27356,31.79927,30.65442,34.17998,31.4373,33.75887,33.05495,33.42157,34.52755,35.58789,34.71613,36.00597,35.01893,33.87162,30.29925,32.91124,33.46285,26.54323,32.14324,38.00435,35.78921,31.99982,33.36607,34.64324,35.57333,34.41823,28.68819,36.34449,27.44532,38.93553,34.04048,35.82307,32.99669,31.97006,23.25222,28.60016,36.22331,24.87616,37.51669,30.00942,33.37805,30.9466,39.18448,32.03593,32.80648,0
17,31.91931877,37.33870498,33.46147212,34.54666802,28.31713906,31.76190387,36.42990293,33.11503967,30.72592795,29.9432743,34.86774606,21.24941462,28.17494545,32.78655752,31.86951738,33.07950091,35.66760226,31.42709078,31.27567209,32.31922302,36.95229972,32.43432854,33.07805308,29.46621422,32.34397447,22.09712,30.86417,36.10925,34.06577,31.78944,34.93801,33.74222,35.93897,34.35383,37.16011,30.05862,30.95664,21.21182,33.89564,35.74998,29.77336,30.90724,32.15604,35.22431,32.92596,39.44347,32.63204,30.00989,31.58354,24.90393,35.6335,31.81017,33.10887,35.70686,22.13976,22.61387,31.68836,32.40697,30.16019,32.92151,31.43243,32.85405,33.33117,33.65227,34.20464,35.08401,30.82084,34.8382,30.74591,33.13449,31.13948,33.36963,33.1887,22.08228,31.2129,37.32382,35.73359,33.74714,33.09066,33.27297,35.22015,34.96665,29.73435,35.69163,22.65089,37.24339,34.61716,35.68068,32.99773,32.68817,21.71091,30.73299,35.45924,22.41477,36.84432,31.36953,36.89551,31.88257,38.08505,30.92365,34.63672,0
18,31.88013362,36.5519543,35.28867952,34.53268332,31.19810249,32.80694866,36.32552553,34.93575657,30.52876719,32.46142182,35.01319045,21.24941462,29.99766041,32.2812336,31.36778197,34.93167638,34.06602466,31.74738628,32.32292065,33.10109873,35.36002579,32.12117639,31.18318448,30.124066,32.36044827,28.35676,29.69736,35.70867,34.49951,33.06854,34.82987,33.38591,35.63974,34.30713,37.55787,33.18541,31.32164,29.46451,32.95287,34.62453,32.07969,30.42142,33.277,34.91784,33.82036,38.42534,33.59336,28.87864,31.32779,33.65306,35.80898,29.67007,33.57123,35.97273,27.06264,22.61387,32.10011,32.57467,30.75696,32.41705,32.57623,35.6898,33.23569,32.76052,34.03315,34.45987,35.5479,34.55576,29.92795,33.7741,28.99335,33.57898,33.99038,22.08228,30.76532,37.15664,35.24093,33.30059,31.10934,33.67227,35.20302,36.27697,35.8004,36.30887,27.33716,38.86145,33.41715,35.89324,32.09817,32.69715,26.31404,30.43574,39.09159,28.34518,35.15487,31.42165,34.81602,31.7243,39.45942,31.74634,34.76753,1
19,31.43794439,37.10482632,35.40510848,34.78713083,27.73253253,31.26560678,37.28881313,27.07905573,31.48319001,30.0906043,36.13998741,21.24941462,28.98567154,34.27326085,30.68503876,25.91542638,34.22673661,32.94767348,31.62984286,32.55570177,37.51548808,31.25733707,31.52081532,29.90955262,28.97009524,28.99948,30.86524,36.4592,30.14214,33.22958,35.11826,33.69635,36.36011,34.55979,37.93249,33.72861,33.20546,25.52556,32.74769,29.76242,22.89212,31.12814,33.12435,35.3826,32.65215,39.46221,33.01104,28.91879,31.95373,35.34825,37.02057,31.49373,27.49587,32.37458,22.13976,22.61387,32.08382,31.53528,30.11855,34.35626,33.50215,32.48868,32.8475,34.38404,33.52672,33.33169,30.32957,36.76323,37.83733,34.40276,29.5614,33.04107,33.52552,25.55465,30.84741,37.86971,37.0071,32.11472,33.20439,35.45396,35.49774,32.58931,26.40738,36.51128,22.65089,38.62243,33.92503,35.99329,33.16735,32.00834,29.57713,29.4533,36.18356,26.64359,37.15118,31.70892,34.8163,33.11837,35.36697,32.89678,34.11937,0
